ID,Term,Aliases / Related labels,Category,Subcategory,Plain-English meaning,Mechanical role,Typical value / unit,Design notes / distinctions,Example systems,Scope,Source keys,Primary source URL,Additional source URLs,Added,Search tags
WG-0014,Target,selected target; defender,Rules process,Targeting,"The game element chosen to receive an attack, action or effect.",Identifies recipient of an effect,,Specify target eligibility before costs and dice are committed.,40K; Infinity; Malifaux,Generic / cross-system,40K-QS;INF-N5;MALIFAUX,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf | https://malifauxrules.com/rules/sections/2-glossary,2026-09-23,target selected target; defender rules process targeting
WG-0015,Attacker,initiator; attacking model/unit,Rules relation,Combat,"The model, unit or player initiating an attack.",Identifies source of combat resolution,,May differ from active model when reactions or controlled attacks exist.,40K; Malifaux,Generic / cross-system,40K-QS;MALIFAUX,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://malifauxrules.com/rules/sections/2-glossary,2026-09-23,attacker initiator; attacking model/unit rules relation combat
WG-0016,Defender,resister; target,Rules relation,Combat,The model or unit defending against an attack or opposed effect.,Identifies defensive participant,,Some games define defender only after a legal target is declared.,Legion; Malifaux,Generic / cross-system,LEGION;MALIFAUX,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://malifauxrules.com/rules/sections/2-glossary,2026-09-23,defender resister; target rules relation combat
WG-0017,Profile,stat line; datasheet; warscroll; stat card; unit profile,Game data,Profile,The structured rules data describing a model or unit.,Holds characteristics and abilities,,Keep profile identity separate from the physical model and from army-list entry.,40K; AoS; Infinity; Malifaux,Generic / cross-system,40K-QS;AOS;INF-WIKI;MALIFAUX,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://infinitythewiki.com/Introduction | https://malifauxrules.com/rules/sections/2-glossary,2026-09-23,profile stat line; datasheet; warscroll; stat card; unit profile game data profile
WG-0018,Characteristic,attribute; stat; value,Game data,Statistic,A named numerical or categorical property used by the rules.,Stores reusable game data,,"Examples include Move, Health, Defence, Control, Skill or Armour.",AoS; Infinity; 40K,Generic / cross-system,AOS;INF-N5;40K-QS,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf | https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,2026-09-23,characteristic attribute; stat; value game data statistic
WG-0019,Keyword,tag; trait; label,Rules language,Tagging,"A short label attached to an object, rule or ability so other rules can reference a class of things.",Creates machine-like rule hooks,,"A keyword can mean faction identity, unit type or a mechanical ability; record which kind you mean.",40K; AoS; Legion; Malifaux; Infinity,Generic / cross-system,40K-QS;AOS;LEGION;MALIFAUX;INF-N5,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://malifauxrules.com/rules/sections/2-glossary | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,2026-09-23,keyword tag; trait; label rules language tagging
WG-0020,Trait,tag; property,Rules language,Tagging,A named property that modifies how an object or effect behaves.,Reusable rules hook,,Often used for weapon or equipment behaviour rather than identity.,Infinity; terrain systems,Generic / cross-system,INF-N5,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,,2026-09-23,trait tag; property rules language tagging
WG-0021,Label,tag,Rules language,Tagging,A classification attached to a rule to group it with related rules.,Rule grouping,,"Useful for interactions such as 'Movement', 'Attack' or 'Comms'.",Infinity,Generic / cross-system,INF-N5,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,,2026-09-23,label tag rules language tagging
WG-0022,Ability,special rule; power; skill,Rules language,Rule object,"A discrete rule a model, unit, card or scenario can use or possess.",Packages behaviour,,"For clean design, give each ability timing, trigger/declare step, target, cost and effect.",AoS; MCP; Infinity,Generic / cross-system,AOS;MCP;INF-N5,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://www.atomicmassgames.com/mcp-rules/ | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,2026-09-23,ability special rule; power; skill rules language rule object
WG-0023,Action,order; activity,Rules language,Action economy,A discrete thing a model or unit may perform during activation.,Consumes action economy,,Define whether movement itself is an action and whether actions can repeat.,Legion; Malifaux; MCP,Generic / cross-system,LEGION;MALIFAUX;MCP,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://malifauxrules.com/rules/sections/2-glossary | https://www.atomicmassgames.com/mcp-rules/,2026-09-23,action order; activity rules language action economy
WG-0024,Effect,result; outcome,Rules language,Resolution,"The mechanical change produced by a rule, action or ability.",Applies game-state change,,Separate effect from trigger and cost to reduce timing ambiguity.,AoS; Legion,Generic / cross-system,AOS;LEGION,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,effect result; outcome rules language resolution
WG-0025,Cost,spend; requirement,Rules language,Cost,A resource or condition paid to use an action or ability.,Constrains use,,State whether a cost is paid before target validation and whether it is refunded on failure.,Malifaux; MCP,Generic / cross-system,MALIFAUX;MCP,https://malifauxrules.com/rules/sections/2-glossary,https://www.atomicmassgames.com/mcp-rules/,2026-09-23,cost spend; requirement rules language cost
WG-0026,Requirement,prerequisite; condition,Rules language,Eligibility,"A condition that must be true before an action, attack or rule may be used.",Gates legality,,Keep requirements separate from costs and effects.,Infinity; Malifaux,Generic / cross-system,INF-N5;MALIFAUX,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,https://malifauxrules.com/rules/sections/2-glossary,2026-09-23,requirement prerequisite; condition rules language eligibility
WG-0027,Restriction,limitation; prohibition,Rules language,Eligibility,A condition that forbids or narrows otherwise legal choices.,Gates legality,,Target restrictions are easier to parse when listed explicitly.,Malifaux,Generic / cross-system,MALIFAUX,https://malifauxrules.com/rules/sections/2-glossary,,2026-09-23,restriction limitation; prohibition rules language eligibility
WG-0028,Eligible,legal; valid,Rules language,Eligibility,"Currently permitted to perform, be selected by or receive a rule.",Legality test,,"Use consistently instead of alternating between 'may', 'can' and 'able to'.",40K; AoS; Legion,Generic / cross-system,40K-QS;AOS;LEGION,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,eligible legal; valid rules language eligibility
WG-0029,Resolve,apply; carry out,Rules language,Resolution,To execute the mechanical steps and outcomes of a declared rule.,Timing verb,,"Useful paired with Declare: declare first, then resolve.",AoS; Legion,Generic / cross-system,AOS;LEGION,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,resolve apply; carry out rules language resolution
WG-0030,Declare,announce; choose,Rules language,Timing,To commit to an action or ability and identify required choices before its effect is resolved.,Timing and commitment,,"Good rules specify what is chosen at declaration: source, target, mode, weapon and costs.",AoS; 40K,Generic / cross-system,AOS;40K-QS,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,2026-09-23,declare announce; choose rules language timing
WG-0031,Trigger,when; whenever; after,Rules language,Timing,An event or condition that causes a rule to become available or fire automatically.,Event hook,,"Differentiate 'when', 'after', 'before' and 'at the start/end of'.",Malifaux; MCP; AoS,Generic / cross-system,MALIFAUX;MCP;AOS,https://malifauxrules.com/rules/sections/2-glossary,https://www.atomicmassgames.com/mcp-rules/ | https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,2026-09-23,trigger when; whenever; after rules language timing
WG-0032,Reaction,interrupt; response; ARO; overwatch,Rules language,Timing,An action or effect used in response to another player's action rather than only on your own turn.,Creates interactivity,,Define response windows and whether multiple reactions can stack.,AoS; Infinity; Legion,Generic / cross-system,AOS;INF-WIKI;LEGION,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://infinitythewiki.com/Introduction | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,reaction interrupt; response; aro; overwatch rules language timing
WG-0033,Timing,timing window; step,Rules language,Timing,The point in the sequence when a rule may or must occur.,Orders simultaneous effects,,A formal timing hierarchy prevents most rules disputes.,AoS; Legion,Generic / cross-system,AOS;LEGION,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,timing timing window; step rules language timing
WG-0034,Rules priority,precedence; override,Rules language,Conflict resolution,A hierarchy deciding which rule wins when two instructions conflict.,Resolves contradictions,,Common pattern: specific overrides general; cards/scenarios may override core rules.,Legion; MCP,Generic / cross-system,LEGION;MCP,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://www.atomicmassgames.com/mcp-rules/,2026-09-23,rules priority precedence; override rules language conflict resolution
WG-0035,Game,battle; match,Turn structure,Whole game,A complete play session governed by one scenario or victory condition.,Top-level time structure,,,All,Generic / cross-system,AOS;LEGION;40K-QS,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,2026-09-23,game battle; match turn structure whole game
WG-0036,Round,battle round; game round,Turn structure,Round,"A major cycle containing turns, phases or activations from both sides.",Structures recurring play,,Round can mean one turn per player or a full activation cycle.,40K; AoS; Legion,Generic / cross-system,40K-QS;AOS;LEGION,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,round battle round; game round turn structure round
WG-0037,Turn,player turn,Turn structure,Turn,A period in which one player is considered active or receives a major sequence of play.,Structures initiative,,Some games replace player turns with alternating unit activations.,40K; AoS; Bolt Action,Generic / cross-system,40K-QS;AOS;BOLT,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/,2026-09-23,turn player turn turn structure turn
WG-0038,Phase,step; phase of turn,Turn structure,Phase,A named portion of a turn or round dedicated to related activities.,Chunks rules timing,,"Examples: Command, Movement, Shooting, Charge, Fight.",40K; AoS,Generic / cross-system,40K-QS;AOS,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,2026-09-23,phase step; phase of turn turn structure phase
WG-0039,Step,sub-step; timing step,Turn structure,Step,"A smaller ordered part inside a phase, action or attack sequence.",Fine timing control,,Good for explicit attack pipelines and end-of-round cleanup.,Legion; 40K,Generic / cross-system,LEGION;40K-QS,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,2026-09-23,step sub-step; timing step turn structure step
WG-0040,Activation,activate; activation phase,Turn structure,Activation,The window in which a selected model or unit acts.,Unit-level turn economy,,Core concept for alternating-activation games.,Legion; Malifaux; Infinity; Bolt Action,Generic / cross-system,LEGION;MALIFAUX;INF-WIKI;BOLT,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://malifauxrules.com/rules/sections/2-glossary | https://infinitythewiki.com/Introduction | https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/,2026-09-23,activation activate; activation phase turn structure activation
WG-0041,Active player,current player,Turn structure,Active side,The player whose turn or timing priority is currently being resolved.,Assigns timing precedence,,,AoS; Malifaux,Generic / cross-system,AOS;MALIFAUX,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://malifauxrules.com/rules/sections/2-glossary,2026-09-23,active player current player turn structure active side
WG-0042,Active model,active unit; activated unit,Turn structure,Active piece,The model or unit currently taking its activation.,Defines source of actions,,,Malifaux; Infinity; Legion,Generic / cross-system,MALIFAUX;INF-WIKI;LEGION,https://malifauxrules.com/rules/sections/2-glossary,https://infinitythewiki.com/Introduction | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,active model active unit; activated unit turn structure active piece
WG-0043,Initiative,priority; first player,Turn structure,Initiative,The mechanism deciding who acts first or has first choice in a round.,Orders players,,"Can be fixed, rolled, bid, card-driven or scenario-driven.",Infinity; Malifaux; Legion,Generic / cross-system,INF-WIKI;MALIFAUX;LEGION,https://infinitythewiki.com/Introduction,https://malifauxrules.com/rules/sections/2-glossary | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,initiative priority; first player turn structure initiative
WG-0044,Priority,initiative; first player,Turn structure,Initiative,The right to act first or resolve a contested timing choice first.,Orders players/effects,,,Legion; AoS,Generic / cross-system,LEGION;AOS,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,2026-09-23,priority initiative; first player turn structure initiative
WG-0045,Alternating activation,alternate activation; unit-by-unit activation,Turn structure,Activation model,Players alternate activating individual units or models.,Controls tempo,,"Players alternate individual model/unit activations. Do not confuse this with I-go-you-go, where one player completes a larger turn sequence before the other.",Legion; Malifaux,Generic / cross-system,LEGION;MALIFAUX,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://malifauxrules.com/rules/sections/2-glossary,2026-09-23,alternating activation i-go-you-go by unit turn structure activation model
WG-0046,Random activation,order-dice activation; bag draw,Turn structure,Activation model,The next side or unit opportunity is determined by a random draw.,Creates uncertain tempo,,Frequently uses coloured dice or tokens in a bag.,Bolt Action,Generic / cross-system,BOLT;BOLT-REF,https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/,https://www.warlordgames.com/downloads/pdf/bolt_action_reference.pdf,2026-09-23,random activation order-dice activation; bag draw turn structure activation model
WG-0047,Order,command; order die,Turn structure,Activation command,An instruction assigned to a unit that determines its action or state.,Packages activation choice,,Order can be both the action chosen and the physical token marking it.,Bolt Action; Infinity; Legion,Generic / cross-system,BOLT;INF-WIKI;LEGION,https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/,https://infinitythewiki.com/Introduction | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,order command; order die turn structure activation command
WG-0048,Command,command ability; command action,Turn structure,Command,A higher-level instruction or resource-driven rule influencing units.,Supports command layer,,"May be a phase, card, order, point-spend or aura depending on system.",40K; AoS; Legion,Generic / cross-system,40K-QS;AOS;LEGION,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,command command ability; command action turn structure command
WG-0049,Pass,skip; forgo activation,Turn structure,Pass,Choose not to take an available action or activation opportunity.,Tempo control,,Rules should state when passing is allowed and whether it ends a sequence.,Legion; MCP,Generic / cross-system,LEGION;MCP,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://www.atomicmassgames.com/mcp-rules/,2026-09-23,pass skip; forgo activation turn structure pass
WG-0050,Ready,unexhausted; available,Turn structure,Readiness,"A state indicating a model, card or ability is available for use.",Tracks availability,,Opposite of exhausted/spent in many designs.,Legion; card-driven games,Generic / cross-system,LEGION,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,,2026-09-23,ready unexhausted; available turn structure readiness
WG-0051,Exhausted,spent; used; tapped,Turn structure,Readiness,A state indicating an object or ability has been used and requires recovery before reuse.,Tracks limited reuse,,Distinguish card exhaustion from unit activation.,Legion,Generic / cross-system,LEGION,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,,2026-09-23,exhausted spent; used; tapped turn structure readiness
WG-0052,Refresh,ready; reset; recover,Turn structure,Readiness,"Return spent resources, cards or abilities to an available state.",Resets action resources,,Often occurs in upkeep or end phase.,Legion; MCP,Generic / cross-system,LEGION;MCP,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://www.atomicmassgames.com/mcp-rules/,2026-09-23,refresh ready; reset; recover turn structure readiness
WG-0053,End phase,cleanup phase; end step,Turn structure,Cleanup,"A phase that scores, removes temporary markers and resets state.",Game-state maintenance,,,Legion; Bolt Action,Generic / cross-system,LEGION;BOLT-REF,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://www.warlordgames.com/downloads/pdf/bolt_action_reference.pdf,2026-09-23,end phase cleanup phase; end step turn structure cleanup
WG-0054,Once per turn,1/turn,Turn structure,Usage limit,A frequency limit allowing one use during a turn.,Balances abilities,,"Specify per model, per unit, per player or per copy.",Cross-system,Generic / cross-system,AOS;MALIFAUX;LEGION,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://malifauxrules.com/rules/sections/2-glossary | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,once per turn 1/turn turn structure usage limit
WG-0055,Once per round,1/round,Turn structure,Usage limit,A frequency limit allowing one use during a round.,Balances abilities,,,Cross-system,Generic / cross-system,AOS;MCP;LEGION,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://www.atomicmassgames.com/mcp-rules/ | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,once per round 1/round turn structure usage limit
WG-0056,Once per game,limited; single use,Turn structure,Usage limit,A frequency limit allowing one use during the entire game.,Creates high-impact resource,,,OPR; MCP,Generic / cross-system,OPR;MCP,https://wiki.onepagerules.com/index.php/Grimdark_Future_Firefight_Special_Rules,https://www.atomicmassgames.com/mcp-rules/,2026-09-23,once per game limited; single use turn structure usage limit
WG-0057,Free action,bonus action; zero-action,Turn structure,Action economy,An action that does not consume the normal action allowance.,Expands action economy,,Define whether free actions can repeat or generate other actions.,Legion,Generic / cross-system,LEGION,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,,2026-09-23,free action bonus action; zero-action turn structure action economy
WG-0058,Action limit,actions per activation,Turn structure,Action economy,The maximum number of normal actions a model or unit may declare in an activation.,Caps action economy,integer,A clear action limit is useful even if most models use the same default.,Malifaux; Legion,Generic / cross-system,MALIFAUX;LEGION,https://malifauxrules.com/rules/sections/2-glossary,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,action limit actions per activation turn structure action economy
WG-0059,Action point,AP; action resource,Turn structure,Action economy,A spendable unit of action economy used to pay for actions.,Flexible action economy,integer,"Not universal, but a common design alternative to fixed action counts.",Generic,Generic design term,MALIFAUX;LEGION,https://malifauxrules.com/rules/sections/2-glossary,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,action point ap; action resource turn structure action economy
