term,phase,type,ruleset_scope,frequency,definition,abbreviation_or_aliases,mechanical_role,typical_value_unit,source_family,source_url
Stranded Base,v20,game-specific label,Historical / command,medium,A component base separated beyond permitted formation spacing and unable to move normally until contact is restored.,isolated element; separated base,Penalty for broken formation cohesion,distance / state,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Support Range,v20,generic design concept,Cross-genre / formation,high,A proximity distance within which friendly formations or units provide specified mutual support effects.,support radius; mutual-support distance,Spatial trigger for support mechanics,distance,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Command Base Damage,v20,generic design concept,Historical / command,medium,Damage applied to an abstract headquarters element that degrades the performance of subordinate formations rather than directly removing combat troops.,HQ damage; command degradation,Models disruption of command infrastructure,damage points / roll modifier,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Flexible Command,v20,generic design concept,Historical / command,high,A command-doctrine rating representing broad local discretion and improving a formation's ability to act under changing conditions.,mission command; flexible doctrine,Positive command-control modifier,roll modifier,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Rigid Command,v20,generic design concept,Historical / command,high,A command-doctrine rating representing restricted local initiative and making formations less responsive to unexpected conditions.,rigid doctrine; centralised command,Negative command-control modifier,roll modifier,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Tactically Stationary,v20,generic design concept,Modern / movement,medium,A movement-state threshold where a model may have physically moved but is still treated as stationary for specified combat effects.,stationary threshold,Separates token movement from mechanically significant movement,distance threshold / state,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Secondary Ammunition,v20,generic design concept,Modern / logistics,high,A limited ammunition type carried alongside a primary weapon load and capable of becoming exhausted independently.,special ammunition; limited ammunition,Tracks depletion of specialist ammunition without tracking every shot,ammo type / depletion state,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Passing Fire,v20,generic design concept,Historical / reaction fire,high,Fire resolved against an enemy while that enemy is conducting movement rather than during the firer's normal fire opportunity.,opportunity fire; movement reaction fire,Reaction attack triggered by enemy movement,attack / movement trigger,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Combat Lull,v20,generic design concept,Historical / tempo,medium,A temporary interruption in battle tempo that can cancel or curtail normal turn activity and trigger other scenario effects.,battle lull; operational pause,Introduces uncertain pauses into turn tempo,die result / turn state,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Barrage Request Queue,v20,generic design concept,Historical / artillery,high,An ordered pipeline of requested indirect-fire missions that arrive after delay as capacity becomes available.,fire-mission queue; artillery request queue,Models communications and artillery response delay,requests / turns,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Manhandling,v20,historical/common terminology,Historical / artillery,high,Moving a crew-served gun or mortar without motorised transport.,hand haul; crew movement,Movement mode for heavy weapons without transport,distance / movement allowance,War Times Journal 1943 Rules,https://www.wtj.com/games/1943/rule_movement.htm
