term_id,system_id
WG-0796,1182
WG-0797,1182
WG-0798,1182
WG-0799,1182
WG-0800,1182
WG-0801,1182
WG-0802,1182
WG-0802,1195
WG-0803,1182
WG-0804,1197
WG-0805,1197
WG-0806,1197
WG-0807,1197
WG-0808,1197
WG-0809,1202
WG-0810,1202
WG-0811,1202
WG-0812,1202
WG-0813,1202
WG-0814,1202
WG-0815,1202
WG-0816,1202
WG-0816,904
WG-0817,1202
WG-0818,1212
WG-0819,1213
WG-0820,1214
WG-0821,1213
WG-0822,1213
WG-0823,1213
WG-0824,1213
WG-0825,1213
WG-0825,679
WG-0826,1213
WG-0826,679
WG-0827,1223
WG-0828,1223
WG-0829,1223
WG-0830,1223
WG-0831,1223
WG-0832,1223
WG-0833,1223
WG-0834,1223
WG-0835,1223
WG-0836,1232
WG-0837,1232
WG-0838,1232
WG-0839,1232
WG-0840,1232
WG-0841,1232
WG-0842,1232
WG-0843,1232
WG-0844,1232
WG-0845,1232
WG-0846,1232
WG-0847,1232
WG-0848,1232
WG-0849,1232
WG-0850,1232
WG-0851,1232
WG-0852,1232
WG-0853,1232
WG-0854,1232
WG-0855,1251
WG-0856,1251
WG-0856,1253
WG-0857,1251
WG-0858,1251
WG-0859,1251
WG-0860,1251
WG-0861,1258
WG-0862,1258
WG-0863,1258
WG-0864,1258
WG-0865,1258
WG-0866,1258
WG-0867,1258
WG-0868,1258
WG-0869,1258
WG-0870,1258
WG-0871,1258
WG-0872,1258
WG-0873,1258
WG-0874,1258
WG-0875,1258
WG-0876,1258
WG-0877,1258
WG-0878,17
WG-0879,1276
WG-0880,1276
WG-0881,1276
WG-0882,1276
WG-0883,1280
WG-0884,1280
WG-0885,17
WG-0886,17
WG-0887,17
WG-0888,17
WG-0889,17
WG-0890,17
WG-0891,17
WG-0892,17
WG-0893,17
WG-0894,17
WG-0895,17
WG-0896,17
WG-0897,1280
WG-0898,1280
WG-0899,17
WG-0900,17
WG-0901,17
WG-0902,1280
WG-0903,1280
WG-0904,1280
WG-0905,1280
WG-0906,1280
WG-0907,1280
WG-0908,1280
WG-0909,1280
WG-1098,1307
WG-1099,1307
WG-1100,1307
WG-1100,1310
WG-0910,1307
WG-0910,1310
WG-0911,1307
WG-0911,1314
WG-0912,1307
WG-0913,1307
WG-0914,1307
WG-0915,1307
WG-0916,1307
WG-0917,1307
WG-0918,1307
WG-0918,1314
WG-0919,1307
WG-0920,1307
WG-0920,1310
WG-0921,1307
WG-0922,1307
WG-0923,1307
WG-0924,1307
WG-0925,1307
WG-0926,1307
WG-0927,1332
WG-0928,1332
WG-0929,1332
WG-0930,1332
WG-0931,1332
WG-0932,1337
WG-0933,1337
WG-0934,1337
WG-0935,1337
WG-0936,1337
WG-0937,1337
WG-0938,1337
WG-0938,1344
WG-0939,1337
WG-0940,1337
WG-0940,1347
WG-0941,1337
WG-0942,1337
WG-0943,1337
WG-0944,1337
WG-0945,1337
WG-0945,1347
WG-0946,1337
WG-0946,1347
WG-0947,1337
WG-0948,1337
WG-0949,1337
WG-0950,1359
WG-0951,1359
WG-0952,1359
WG-0953,1359
WG-0954,1359
WG-0955,1359
WG-0956,1359
WG-0957,1359
WG-0958,1359
WG-0959,1359
WG-0960,1369
WG-0961,1370
WG-0962,1370
WG-0963,1370
WG-0964,1370
WG-0965,1370
WG-0966,1370
WG-0967,1370
WG-0968,1370
WG-0969,1370
WG-0970,1370
WG-0970,1380
WG-0971,1370
WG-0972,1370
WG-0973,1370
WG-0974,1370
WG-0975,1370
WG-0976,1370
WG-0977,1370
WG-0978,1388
WG-0979,1388
WG-0980,1388
WG-0981,1388
WG-0982,1388
WG-0983,1388
WG-0984,1388
WG-0985,1388
WG-0986,1388
WG-0987,1388
WG-0988,1388
WG-0989,1388
WG-0990,1400
WG-0991,1400
WG-0992,1400
WG-0993,1400
WG-0994,1400
WG-0995,1400
WG-0996,1400
WG-0997,1400
WG-0998,1400
WG-0999,1400
WG-1000,1400
WG-1000,1411
WG-1001,1411
WG-1002,1411
WG-1003,1411
WG-1004,1411
WG-1005,1411
WG-1005,1400
WG-1006,1418
WG-1007,1418
WG-1008,1418
WG-1009,1418
WG-1010,1418
WG-1011,1418
WG-1012,1418
WG-1013,1418
WG-1014,1418
WG-1015,1418
WG-1016,1418
WG-1017,1418
WG-1018,1418
WG-1019,1418
WG-1020,1418
WG-1021,1418
WG-1022,1418
WG-1023,1418
WG-1024,1418
WG-1025,1418
WG-1026,1418
WG-1027,1418
WG-1028,1418
WG-1029,1418
WG-1030,1418
WG-1031,1418
WG-1032,1418
WG-1033,1418
WG-1034,1418
WG-1035,1418
WG-1036,1418
WG-1037,1449
WG-1038,1449
WG-1039,1449
WG-1040,1449
WG-1041,1449
WG-1042,1449
WG-1043,1449
WG-1044,1449
WG-1045,1449
WG-1046,1449
WG-1047,1449
WG-1048,1449
WG-1049,1449
WG-1050,1449
WG-1051,1449
WG-1052,1449
WG-1053,1449
WG-1054,1449
WG-1055,1449
WG-1056,1449
WG-1057,1469
WG-1058,1449
WG-1059,1449
WG-1060,1449
WG-1061,1473
WG-1062,1473
WG-1063,1475
WG-1064,1476
WG-1065,1476
WG-1066,1476
WG-1067,1476
WG-1068,1476
WG-1069,1476
WG-1070,1476
WG-1071,1476
WG-1072,1476
WG-1073,1485
WG-1074,1485
WG-1075,1485
WG-1076,1485
WG-1077,1485
WG-1078,1485
WG-1079,1485
WG-1080,1485
WG-1081,1485
WG-1082,1485
WG-1083,1485
WG-1084,1485
WG-1085,1073
WG-1086,1073
WG-1087,1073
WG-1088,1073
WG-1089,1073
WG-1090,1073
WG-1091,1073
WG-1092,1073
WG-1093,1073
WG-1094,1073
WG-1095,1073
WG-1096,1073
WG-1097,1073
WG-1101,1510
WG-1102,1510
WG-1103,1510
WG-1104,1510
WG-1105,1510
WG-1106,1510
WG-1107,1510
WG-1108,1510
WG-1109,1510
WG-1110,1510
WG-1111,1510
WG-1112,1510
WG-1113,1510
WG-1114,1510
WG-1115,1510
WG-1116,1510
WG-1117,1510
WG-1118,1510
WG-1119,1510
WG-1120,1510
WG-1121,1510
WG-1122,1510
WG-1123,1510
WG-1124,1533
WG-1125,1533
WG-1126,1533
WG-1127,1533
WG-1128,1533
WG-1129,1533
WG-1130,1533
WG-1131,1533
WG-1132,1533
WG-1133,1533
WG-1134,1543
WG-1135,1543
WG-1136,1543
WG-1137,1543
WG-1138,1543
WG-1139,1543
WG-1140,1543
WG-1141,1543
WG-1142,1543
WG-1143,1543
WG-1144,1543
WG-1145,1543
WG-1146,1543
WG-1147,1556
WG-1148,1556
WG-1149,1556
WG-1150,1556
WG-1151,1556
WG-1152,1556
WG-1153,1556
WG-1154,1556
WG-1155,1556
WG-1156,1556
WG-1157,1566
WG-1158,1566
WG-1159,1566
WG-1160,1556
WG-1161,1570
WG-1162,1571
WG-1163,1572
WG-1164,1572
WG-1165,1572
WG-1166,1575
WG-1167,1556
WG-1168,1577
WG-1169,1556
