term_id,canonical_term,scope,publication_class,source_count
WG-0078,Front arc,Generic / cross-system,generic design concept,2
WG-0079,Side arc,Generic / cross-system,generic design concept,1
WG-0080,Rear arc,Generic / cross-system,generic design concept,1
WG-0081,Firing arc,Generic/common,generic design concept,2
WG-0082,Zone,Generic / cross-system,generic design concept,3
WG-0083,Zone of Control,"System-specific term, generic concept",game-specific label,1
WG-0084,Engagement Range,Generic / cross-system,generic design concept,3
WG-0085,Combat range,Generic / cross-system,generic design concept,1
WG-0086,Coherency,Generic / cross-system,generic design concept,3
WG-0087,Coherency range,Generic / cross-system,generic design concept,2
WG-0088,Centrepoint,Generic / cross-system,generic design concept,1
WG-0089,Centreline,Generic / cross-system,generic design concept,1
WG-0090,Table edge,Generic / cross-system,generic design concept,3
WG-0091,Table half,Generic / cross-system,generic design concept,1
WG-0092,Table quarter,Generic / cross-system,generic design concept,1
WG-0093,Territory,Generic / cross-system,generic design concept,2
WG-0094,Move,Generic / cross-system,generic design concept,5
WG-0095,Move characteristic,Generic / cross-system,generic design concept,4
WG-0096,Speed,Generic / cross-system,generic design concept,3
WG-0097,Normal Move,Generic / cross-system,generic design concept,1
WG-0098,Standard Move,Generic / cross-system,generic design concept,1
WG-0099,Walk,Generic/common,generic design concept,1
WG-0100,Advance,Generic / cross-system,generic design concept,3
WG-0101,Run,Generic / cross-system,generic design concept,3
WG-0102,Rush,Generic / cross-system,generic design concept,1
WG-0103,Dash,Generic / cross-system,generic design concept,1
WG-0104,Road Dash,Generic / cross-system,generic design concept,1
WG-0105,Cross-Country Dash,Generic / cross-system,generic design concept,1
WG-0106,Terrain Dash,Generic / cross-system,generic design concept,1
WG-0107,Sprint,Generic/common,generic design concept,1
WG-0108,Charge,Generic / cross-system,generic design concept,3
WG-0109,Counter-charge,Generic / cross-system,generic design concept,2
WG-0110,Assault,Generic / cross-system,generic design concept,2
WG-0111,Fall Back,Generic / cross-system,generic design concept,1
WG-0112,Retreat,Generic / cross-system,generic design concept,2
WG-0113,Withdraw,Generic / cross-system,generic design concept,1
WG-0114,Disengage,Generic design term,generic design concept,2
WG-0115,Pile In,Generic / cross-system,generic design concept,1
WG-0116,Consolidate,Generic / cross-system,generic design concept,2
WG-0117,Reposition,Generic/common,generic design concept,1
WG-0118,Push,Generic / cross-system,generic design concept,1
WG-0119,Pull,Generic design term,generic design concept,1
WG-0120,Place,Generic / cross-system,generic design concept,2
WG-0121,Teleport,Generic design term,generic design concept,2
WG-0122,Jump,Generic / cross-system,generic design concept,2
WG-0123,Climb,Generic / cross-system,generic design concept,3
WG-0124,Fly,Generic / cross-system,generic design concept,2
WG-0125,Vault,Generic / cross-system,generic design concept,1
WG-0126,Pivot,Generic / cross-system,generic design concept,1
WG-0127,Reverse,Generic / cross-system,generic design concept,1
WG-0128,Scout move,Generic / cross-system,generic design concept,2
WG-0129,Redeploy,Generic/common,generic design concept,2
WG-0130,Infiltrate,Generic / cross-system,generic design concept,2
WG-0131,Deep Strike,"System-specific label, generic concept",game-specific label,1
WG-0132,Ambush,Generic / cross-system,generic design concept,2
WG-0133,Line of Sight,Generic / cross-system,generic design concept,3
WG-0134,Line of Fire,Generic / cross-system,generic design concept,1
WG-0135,Visible,Generic / cross-system,generic design concept,2
WG-0136,Hidden,Generic / cross-system,generic design concept,1
WG-0137,Camouflaged,Generic / cross-system,generic design concept,1
WG-0138,Concealed,Generic / cross-system,generic design concept,2
WG-0139,Obscured,Generic/common,generic design concept,2
WG-0140,Cover,Generic / cross-system,generic design concept,4
WG-0141,Partial Cover,Generic / cross-system,generic design concept,1
WG-0142,Heavy Cover,Generic/common,generic design concept,1
WG-0143,Ignore Cover,Generic / cross-system,generic design concept,2
WG-0144,Targeting restriction,Generic / cross-system,generic design concept,1
WG-0145,Closest target,Generic/common,generic design concept,2
WG-0146,Target priority,Generic design term,generic design concept,2
WG-0147,Lock-on,Generic/common,generic design concept,1
WG-0148,Aim,Generic / cross-system,generic design concept,2
WG-0149,Observation,Generic/common,generic design concept,1
WG-0150,Spotter,Generic/common,generic design concept,2
WG-0151,Indirect Fire,Generic / cross-system,generic design concept,2
WG-0152,Speculative Attack,"System-specific label, generic concept",game-specific label,1
WG-0153,Arc,Generic / cross-system,generic design concept,2
WG-0154,Attack,Generic / cross-system,generic design concept,4
WG-0155,Melee attack,Generic / cross-system,generic design concept,3
WG-0156,Ranged attack,Generic / cross-system,generic design concept,3
WG-0157,Shoot,Generic / cross-system,generic design concept,3
WG-0158,Fire,Generic / cross-system,generic design concept,2
WG-0159,Fight,Generic / cross-system,generic design concept,2
WG-0160,Attack pool,Generic / cross-system,generic design concept,1
WG-0161,Defence pool,Generic / cross-system,generic design concept,2
WG-0162,Attacks characteristic,Generic / cross-system,generic design concept,2
WG-0163,Rate of Fire,Generic / cross-system,generic design concept,1
WG-0164,Burst,Generic / cross-system,generic design concept,1
WG-0165,Weapon range,Generic / cross-system,generic design concept,3
WG-0166,Accuracy,Generic/common,generic design concept,1
WG-0167,Ballistic Skill,Generic / cross-system,generic design concept,2
WG-0168,Weapon Skill,Generic / cross-system,generic design concept,1
WG-0169,Melee,Generic / cross-system,generic design concept,1
WG-0170,Ranged,Generic / cross-system,generic design concept,1
WG-0171,Quality,Generic / cross-system,generic design concept,1
WG-0172,Strength,Generic / cross-system,generic design concept,2
WG-0173,Power,Generic/common,generic design concept,1
WG-0174,Armour Penetration,Generic / cross-system,generic design concept,2
WG-0175,Rend,Generic / cross-system,generic design concept,2
WG-0176,Anti-Tank,Generic / cross-system,generic design concept,1
WG-0177,Firepower,Generic / cross-system,generic design concept,1
WG-0178,Damage,Generic / cross-system,generic design concept,3
WG-0179,Damage characteristic,Generic / cross-system,generic design concept,2
WG-0180,Hit roll,Generic / cross-system,generic design concept,2
WG-0181,Wound roll,Generic / cross-system,generic design concept,1
WG-0182,Attack roll,Generic/common,generic design concept,2
WG-0183,Saving throw,Generic / cross-system,generic design concept,3
WG-0184,Save,Generic / cross-system,generic design concept,3
WG-0185,Defence,Generic / cross-system,generic design concept,2
WG-0186,Armour,Generic / cross-system,generic design concept,3
WG-0187,Toughness,Generic / cross-system,generic design concept,2
WG-0188,Health,Generic / cross-system,generic design concept,2
WG-0189,Wounds,Generic / cross-system,generic design concept,2
WG-0190,Stamina,Generic / cross-system,generic design concept,1
WG-0191,Structure,Generic / cross-system,generic design concept,1
WG-0192,Critical Hit,Generic / cross-system,generic design concept,2
WG-0193,Critical Wound,Generic / cross-system,generic design concept,1
WG-0194,Automatic hit,Generic / cross-system,generic design concept,2
WG-0195,Automatic wound,Generic / cross-system,generic design concept,1
WG-0196,Reroll,Generic / cross-system,generic design concept,3
WG-0197,Modifier,Generic / cross-system,generic design concept,3
WG-0198,Unmodified roll,Generic / cross-system,generic design concept,2
WG-0199,Dice pool,Generic / cross-system,generic design concept,2
WG-0200,Area attack,Generic / cross-system,generic design concept,2
WG-0201,Blast,Generic / cross-system,generic design concept,2
WG-0202,Blast radius,Generic design term,generic design concept,2
WG-0203,AOE,Generic/common,generic design concept,2
WG-0204,Template,Generic / cross-system,generic design concept,1
WG-0205,Direct Template,"System-specific term, generic concept",game-specific label,1
WG-0206,Impact Template,"System-specific term, generic concept",game-specific label,1
WG-0207,Beam,Generic / cross-system,generic design concept,1
WG-0208,Spray,Generic/common,generic design concept,1
WG-0209,Pulse,Generic/common,generic design concept,1
WG-0210,Aura,Generic / cross-system,generic design concept,1
WG-0211,Scatter,Generic/common,generic design concept,2
WG-0212,Deviation,Generic/common,generic design concept,2
WG-0213,Damage point,Generic / cross-system,generic design concept,1
WG-0214,Damage pool,Generic / cross-system,generic design concept,1
WG-0215,Allocate damage,Generic / cross-system,generic design concept,2
WG-0216,Wounded,Generic / cross-system,generic design concept,2
WG-0217,Damaged,Generic / cross-system,generic design concept,1
WG-0218,Injured,Generic / cross-system,generic design concept,1
WG-0219,Destroyed,Generic / cross-system,generic design concept,2
WG-0220,Defeated,Generic / cross-system,generic design concept,1
WG-0221,Slain,Generic / cross-system,generic design concept,1
WG-0222,KO,Generic / cross-system,generic design concept,1
WG-0223,Dazed,Generic / cross-system,generic design concept,1
WG-0224,Mortal damage,Generic / cross-system,generic design concept,2
WG-0225,Damage reduction,Generic/common,generic design concept,1
WG-0226,Damage prevention,Generic / cross-system,generic design concept,3
WG-0227,Ward,"System-specific label, generic concept",game-specific label,1
WG-0228,Feel No Pain,"System-specific label, generic concept",game-specific label,1
WG-0229,Regeneration,Generic / cross-system,generic design concept,1
WG-0230,Heal,Generic / cross-system,generic design concept,2
WG-0231,Repair,Generic/common,generic design concept,1
WG-0232,Morale,Generic / cross-system,generic design concept,1
WG-0233,Nerve,Generic / cross-system,generic design concept,1
WG-0234,Resolve stat,Generic/common,generic design concept,1
WG-0235,Leadership,Generic / cross-system,generic design concept,1
WG-0236,Suppression,Generic / cross-system,generic design concept,1
WG-0237,Pin,Generic / cross-system,generic design concept,2
WG-0238,Pinned,Generic / cross-system,generic design concept,1
WG-0239,Battle-shocked,Generic / cross-system,generic design concept,1
WG-0240,Panicked,Generic / cross-system,generic design concept,2
WG-0241,Rally,Generic / cross-system,generic design concept,2
WG-0242,Wavered,Generic / cross-system,generic design concept,1
WG-0243,Routed,Generic / cross-system,generic design concept,2
WG-0244,Stunned,Generic / cross-system,generic design concept,2
WG-0245,Staggered,Generic / cross-system,generic design concept,2
WG-0246,Immobilised,Generic / cross-system,generic design concept,2
WG-0247,Prone,Generic / cross-system,generic design concept,1
WG-0248,Engaged,Generic / cross-system,generic design concept,3
WG-0249,Poison,Generic / cross-system,generic design concept,3
WG-0250,Burning,Generic/common,generic design concept,1
WG-0251,Bleeding,Generic design term,generic design concept,1
WG-0252,Terrain,Generic / cross-system,generic design concept,4
WG-0253,Terrain feature,Generic / cross-system,generic design concept,2
WG-0254,Area terrain,Generic / cross-system,generic design concept,2
WG-0255,Scatter terrain,Generic / cross-system,generic design concept,1
WG-0256,Obstacle,Generic / cross-system,generic design concept,2
WG-0257,Difficult terrain,Generic / cross-system,generic design concept,3
WG-0258,Severe terrain,Generic/common,generic design concept,1
WG-0259,Impassable,Generic / cross-system,generic design concept,1
WG-0260,Hazardous,Generic / cross-system,generic design concept,1
WG-0261,Open ground,Generic/common,generic design concept,2
WG-0262,Road,Generic / cross-system,generic design concept,1
WG-0263,Elevation,Generic/common,generic design concept,2
WG-0264,High ground,Generic design term,generic design concept,1
WG-0265,Building,Generic / cross-system,generic design concept,1
WG-0266,Doorway,Generic / cross-system,generic design concept,1
WG-0267,Access Width,"System-specific term, generic concept",game-specific label,1
WG-0268,Destructible terrain,Generic / cross-system,generic design concept,1
WG-0269,Cover terrain,Generic / cross-system,generic design concept,3
WG-0270,Blocking terrain,Generic / cross-system,generic design concept,2
WG-0271,Concealing terrain,Generic / cross-system,generic design concept,1
WG-0272,Objective,Generic / cross-system,generic design concept,4
WG-0273,Objective marker,Generic / cross-system,generic design concept,2
WG-0274,Objective token,Generic / cross-system,generic design concept,2
WG-0275,Secure objective,Generic / cross-system,generic design concept,1
WG-0276,Extract objective,Generic / cross-system,generic design concept,1
WG-0277,Control,Generic / cross-system,generic design concept,3
WG-0278,Contest,Generic / cross-system,generic design concept,2
WG-0279,Control score,Generic / cross-system,generic design concept,2
WG-0280,Objective Control,Generic / cross-system,generic design concept,2
WG-0281,Claim,Generic / cross-system,generic design concept,1
WG-0282,Secure,Generic / cross-system,generic design concept,2
WG-0283,Interact,Generic / cross-system,generic design concept,2
WG-0284,Score,Generic / cross-system,generic design concept,3
WG-0285,Victory Point,Generic / cross-system,generic design concept,4
WG-0286,Secondary objective,Generic / cross-system,generic design concept,1
WG-0287,Primary objective,Generic/common,generic design concept,2
WG-0288,Scenario,Generic / cross-system,generic design concept,2
WG-0289,Mission,Generic / cross-system,generic design concept,2
WG-0290,Battleplan,"System-specific label, generic concept",game-specific label,1
WG-0291,Encounter,"System-specific label, generic concept",game-specific label,1
WG-0292,Victory condition,Generic / cross-system,generic design concept,3
WG-0293,Tiebreaker,Generic/common,generic design concept,2
WG-0294,Deployment,Generic / cross-system,generic design concept,3
WG-0295,Deployment zone,Generic / cross-system,generic design concept,2
WG-0296,Set up,Generic / cross-system,generic design concept,2
WG-0297,Reserve,Generic / cross-system,generic design concept,3
WG-0298,Reinforcement,Generic/common,generic design concept,2
WG-0299,Undeployed,Generic / cross-system,generic design concept,1
WG-0300,Army,Generic / cross-system,generic design concept,3
WG-0301,Army list,Generic / cross-system,generic design concept,1
WG-0302,Roster,Generic / cross-system,generic design concept,1
WG-0303,Points,Generic / cross-system,generic design concept,2
WG-0304,Cost value,Generic / cross-system,generic design concept,3
WG-0305,Threat,"System-specific label, generic concept",game-specific label,1
WG-0306,Faction,Generic / cross-system,generic design concept,3
WG-0307,Affiliation,Generic / cross-system,generic design concept,2
WG-0308,Unit type,Generic / cross-system,generic design concept,2
WG-0309,Rank,Generic / cross-system,generic design concept,1
WG-0310,Role,Generic design term,generic design concept,2
WG-0311,Upgrade,Generic / cross-system,generic design concept,2
WG-0312,Equipment,Generic / cross-system,generic design concept,2
WG-0313,Loadout,Generic/common,generic design concept,2
WG-0314,Weapon,Generic / cross-system,generic design concept,3
WG-0315,Unique,Generic / cross-system,generic design concept,2
WG-0316,Limited,Generic / cross-system,generic design concept,2
WG-0317,Attachment,Generic / cross-system,generic design concept,1
WG-0318,Bodyguard,Generic / cross-system,generic design concept,1
WG-0319,Transport,Generic / cross-system,generic design concept,2
WG-0320,Embarked,Generic / cross-system,generic design concept,2
WG-0321,Disembark,Generic / cross-system,generic design concept,2
WG-0322,Command point,Generic / cross-system,generic design concept,2
WG-0323,Power resource,Generic / cross-system,generic design concept,1
WG-0324,Token,Generic / cross-system,generic design concept,3
WG-0325,Marker,Generic / cross-system,generic design concept,2
WG-0326,State,Generic / cross-system,generic design concept,1
WG-0327,Roll,Generic / cross-system,generic design concept,3
WG-0328,Test,Generic/common,generic design concept,1
WG-0329,Order Test,Generic / cross-system,generic design concept,2
WG-0330,Target Number,Generic / cross-system,generic design concept,1
WG-0331,Opposed roll,Generic / cross-system,generic design concept,2
WG-0332,Simple duel,"System-specific label, generic concept",game-specific label,1
WG-0333,Opposed duel,"System-specific label, generic concept",game-specific label,1
WG-0334,Face-to-face roll,"System-specific label, generic concept",game-specific label,1
WG-0335,Success,Generic / cross-system,generic design concept,2
WG-0336,Failure,Generic / cross-system,generic design concept,2
WG-0337,Margin of success,Generic design term,generic design concept,1
WG-0338,Raise,"System-specific label, generic concept",game-specific label,1
WG-0339,D6,Generic / cross-system,generic design concept,2
WG-0340,D3,Generic / cross-system,generic design concept,2
WG-0341,2D6,Generic / cross-system,generic design concept,2
WG-0342,Die result,Generic / cross-system,generic design concept,2
WG-0343,Success symbol,Generic / cross-system,generic design concept,2
WG-0344,Critical,Generic / cross-system,generic design concept,3
WG-0345,Surge,"System-specific label, generic concept",game-specific label,1
WG-0346,Block,Generic / cross-system,generic design concept,1
WG-0347,Roll-off,Generic/common,generic design concept,1
WG-0348,Random table,Generic design term,generic design concept,1
WG-0349,Blast X,Generic/common,generic design concept,2
WG-0350,Deadly X,Generic/common,generic design concept,1
WG-0351,Impact X,Generic / cross-system,generic design concept,1
WG-0352,Reliable,Generic / cross-system,generic design concept,1
WG-0353,Rending,Generic / cross-system,generic design concept,1
WG-0354,Poison weapon,Generic / cross-system,generic design concept,3
WG-0355,Sniper,Generic / cross-system,generic design concept,1
WG-0356,Stealth,Generic / cross-system,generic design concept,2
WG-0357,Slow,Generic / cross-system,generic design concept,1
WG-0358,Strider,Generic / cross-system,generic design concept,1
WG-0359,Tough X,Generic / cross-system,generic design concept,1
WG-0360,Scout,Generic / cross-system,generic design concept,2
WG-0361,Assault weapon,"System-specific label, generic concept",game-specific label,1
WG-0362,Heavy weapon,Generic / cross-system,generic design concept,2
WG-0363,Pistol,Generic / cross-system,generic design concept,1
WG-0364,Rapid Fire,Generic / cross-system,generic design concept,1
WG-0365,Sustained Hits,Generic / cross-system,generic design concept,1
WG-0366,Lethal Hits,Generic / cross-system,generic design concept,1
WG-0367,Twin-linked,"System-specific label, generic concept",game-specific label,1
WG-0368,Limited-use,Generic / cross-system,generic design concept,2
WG-0369,Disposable,"System-specific label, generic concept",game-specific label,1
WG-0370,Suppressive Fire,Generic / cross-system,generic design concept,1
WG-0371,Overwatch,Generic/common,generic design concept,2
WG-0372,Opportunity fire,Generic / cross-system,generic design concept,1
WG-0373,Covering fire,Generic design term,generic design concept,2
WG-0374,Area denial,Generic design term,generic design concept,2
WG-0375,Remain Stationary,"System-specific label, generic concept",game-specific label,1
WG-0376,Torrent,"System-specific label, generic concept",game-specific label,1
WG-0377,Melta X,System-specific,game-specific label,1
WG-0378,Anti-X Y+,System-specific but reusable pattern,game-specific label,1
WG-0379,Devastating Wounds,System-specific,game-specific label,1
WG-0380,Cleave X,System-specific,game-specific label,1
WG-0381,Down,System-specific,game-specific label,1
WG-0382,Penetration,"System-specific label, generic concept",game-specific label,1
WG-0383,Close Quarters Combat,Generic term with system-specific procedures,game-specific label,1
WG-0384,High Explosive,Generic military term used as rules vocabulary,generic design concept,1
WG-0385,Submachine Gun,Generic weapon class,generic design concept,1
WG-0386,Light Machine Gun,Generic weapon class,generic design concept,1
WG-0387,Medium Machine Gun,Generic weapon class,generic design concept,1
WG-0388,Heavy Machine Gun,Generic weapon class,generic design concept,1
WG-0389,Control Range,"System-specific label, generic concept",game-specific label,1
WG-0390,Battlegroup,"System-specific label, reusable concept",game-specific label,1
WG-0391,Focus Resource,System-specific,game-specific label,1
WG-0392,Fury Resource,System-specific,game-specific label,1
WG-0393,Power Up,System-specific,game-specific label,1
WG-0394,Upkeep,Generic concept,generic design concept,1
WG-0395,Boost Roll,Generic concept with system-specific implementation,game-specific label,1
WG-0396,Knockdown,Generic concept,generic design concept,1
WG-0397,Basic Attack,Generic concept,generic design concept,1
WG-0398,Arcane Attack,"System-specific label, generic concept",game-specific label,1
WG-0399,Maintenance Phase,Generic concept,generic design concept,1
WG-0400,Control Phase,Generic concept,generic design concept,1
WG-0401,Regiment,Generic military term used as rules vocabulary,generic design concept,1
WG-0402,Stand,Generic,generic design concept,1
WG-0403,March,Generic term with system-specific procedure,game-specific label,1
WG-0404,Wheel,Generic,generic design concept,1
WG-0405,Clash,System-specific,game-specific label,1
WG-0406,Volley,Generic term with system-specific procedure,game-specific label,1
WG-0407,Take Aim,Generic named action,generic design concept,1
WG-0408,Impact Attack,Generic concept,generic design concept,1
WG-0409,Broken,Generic,generic design concept,1
WG-0410,Guts Roll,"System-specific label, generic concept",game-specific label,1
WG-0411,Barrel Roll,"System-specific label, generic vehicle-movement concept",game-specific label,1
WG-0412,Boost Manoeuvre,"System-specific label, generic concept",game-specific label,1
WG-0413,Lock,Generic concept,generic design concept,1
WG-0414,Overlap,Generic concept,generic design concept,1
WG-0415,Ion,"System-specific label, generic concept",game-specific label,1
WG-0416,Tractor,"System-specific label, generic concept",game-specific label,1
WG-0417,After-Action Report,Hobby / design vocabulary,review,1
WG-0418,Artificial Intelligence,Generic,generic design concept,1
WG-0419,Area Control,Generic,generic design concept,1
WG-0420,Area Impulse,Generic,generic design concept,1
WG-0421,Area Movement,Generic,generic design concept,1
WG-0422,Asymmetric Game,Generic,generic design concept,1
WG-0423,Average Dice,Generic,generic design concept,1
WG-0424,Block Game,Generic,generic design concept,1
WG-0425,Campaign,Generic,generic design concept,1
WG-0426,Card-Driven Game,Generic,generic design concept,1
WG-0427,Chit,Generic,generic design concept,1
WG-0428,Chit Pull,Generic,generic design concept,1
WG-0429,Chrome,Hobby / design vocabulary,review,2
WG-0430,COIN Game,Generic / family label,generic design concept,1
WG-0431,Combat Results Table,Generic,generic design concept,2
WG-0432,Combat Ratio,Generic,generic design concept,2
WG-0433,Column Shift,Generic,generic design concept,2
WG-0434,Die Roll Modifier,Generic,generic design concept,2
WG-0435,Command Control,Generic,generic design concept,1
WG-0436,Command Level,Generic,generic design concept,1
WG-0437,Counter,Generic,generic design concept,1
WG-0438,Dummy Counter,Generic,generic design concept,2
WG-0439,Fog of War,Generic,generic design concept,1
WG-0440,Ground Scale,Generic,generic design concept,2
WG-0441,Hex,Generic,generic design concept,2
WG-0442,Hex-and-Counter,Generic,generic design concept,2
WG-0443,Interpenetration,Generic,generic design concept,1
WG-0444,Point-to-Point Movement,Generic,generic design concept,1
WG-0445,Sequence of Play,Generic,generic design concept,1
WG-0446,I-go-You-go,Generic,generic design concept,1
WG-0447,Stacking,Generic,generic design concept,1
WG-0448,Stacking Limit,Generic,generic design concept,1
WG-0449,Overstack,Generic,generic design concept,1
WG-0450,Movement Tray,Generic,generic design concept,1
WG-0451,Movement Allowance,Generic,generic design concept,1
WG-0452,Entry Cost,Generic,generic design concept,1
WG-0453,Exit Cost,Generic,generic design concept,1
WG-0454,Terrain Effects Chart,Generic,generic design concept,1
WG-0455,Direct Fire,Generic,generic design concept,1
WG-0456,Disrupted,Generic,generic design concept,2
WG-0457,Diversionary Attack,Generic,generic design concept,1
WG-0458,Overrun,Generic,generic design concept,1
WG-0459,Step Loss,Generic,generic design concept,2
WG-0460,Supply,Generic,generic design concept,1
WG-0461,Line of Communications,Generic,generic design concept,1
WG-0462,Order of Battle,Generic,generic design concept,1
WG-0463,Percentile Dice,Generic,generic design concept,1
WG-0464,D66,Generic,generic design concept,1
WG-0465,Tactical Scale,Generic,generic design concept,1
WG-0466,Operational Scale,Generic,generic design concept,1
WG-0467,Strategic Scale,Generic,generic design concept,1
WG-0468,Grand Strategic Scale,Generic,generic design concept,1
WG-0469,Firepower Ratio,Generic,generic design concept,1
WG-0470,Target Movement Modifier,BattleTech-specific,review,1
WG-0471,Point Value,"System-specific label, generic concept",game-specific label,1
WG-0472,Overheat Value,System-specific,game-specific label,1
WG-0473,Heat Level,Generic mech-game concept,generic design concept,1
WG-0474,Heat Scale,Generic mech-game concept,generic design concept,1
WG-0475,Shutdown,Generic mech-game concept,generic design concept,1
WG-0476,Cooling Down,Generic mech-game concept,generic design concept,1
WG-0477,Jumping Movement,"System-specific label, generic concept",game-specific label,1
WG-0478,Physical Attack,Generic mech-game concept,generic design concept,1
WG-0479,Death From Above,System-specific,game-specific label,1
WG-0480,Engine Hit,Generic vehicle/mech concept,generic design concept,1
WG-0481,Fire Control Hit,"System-specific label, generic concept",game-specific label,1
WG-0482,Movement System Hit,Generic mech/vehicle concept,generic design concept,1
WG-0483,Weapon System Hit,Generic vehicle/mech concept,generic design concept,1
WG-0484,Blaze Away,System-specific,game-specific label,1
WG-0485,Assault Reaction,Generic concept with system-specific menu,game-specific label,1
WG-0486,Controlled Fire,System-specific,game-specific label,1
WG-0487,Evade Reaction,Generic concept,generic design concept,1
WG-0488,Hindered Charge,Generic,generic design concept,1
WG-0489,Failed Assault,Generic concept,generic design concept,1
WG-0490,Directly Away,Generic rules-language concept,generic design concept,1
WG-0491,Advanced Training,System-specific,game-specific label,1
WG-0492,Anti-Grav,Generic sci-fi concept,generic design concept,1
WG-0493,Bulky,Generic,generic design concept,1
WG-0494,Defensible,System-specific,game-specific label,1
WG-0495,Inspiring,Generic,generic design concept,1
WG-0496,Resilient X,System-specific pattern,game-specific label,1
WG-0497,Small Unit,Generic concept,generic design concept,1
WG-0498,Tactician X,System-specific,game-specific label,1
WG-0499,Targeting Systems,Generic sci-fi concept,generic design concept,1
WG-0500,Vicious,Generic label with system-specific implementation,game-specific label,1
WG-0501,Weight of Fire X,System-specific,game-specific label,1
WG-0502,Pinning Weapon,Generic,generic design concept,1
