term_id,alias
WG-0084,melee range
WG-0084,combat range
WG-0085,melee zone
WG-0085,engagement range
WG-0086,formation spacing
WG-0086,unit cohesion
WG-0087,unit spacing
WG-0088,table centre
WG-0088,midpoint
WG-0089,midline
WG-0090,battlefield edge
WG-0091,battlefield half
WG-0092,quadrant
WG-0092,battlefield quarter
WG-0093,friendly territory
WG-0093,enemy territory
WG-0094,movement
WG-0094,MV
WG-0094,M
WG-0094,speed move
WG-0095,MV
WG-0095,M
WG-0095,Speed
WG-0095,Sp
WG-0095,SPD
WG-0096,Sp
WG-0096,SPD
WG-0096,movement rate
WG-0097,standard move
WG-0097,walk
WG-0097,move
WG-0098,normal move
WG-0099,move
WG-0099,basic move
WG-0100,move-and-fire
WG-0100,accelerated move
WG-0101,rush
WG-0101,sprint
WG-0101,dash
WG-0102,run
WG-0102,dash
WG-0103,run
WG-0103,sprint
WG-0104,road move
WG-0105,open-ground dash
WG-0106,rough-terrain dash
WG-0107,full speed
WG-0107,triple move
WG-0108,assault move
WG-0108,charge move
WG-0109,reactive charge
WG-0110,charge
WG-0110,close assault
WG-0111,retreat
WG-0111,withdraw
WG-0111,disengage
WG-0112,fall back
WG-0112,withdraw
WG-0113,disengage
WG-0113,retreat
WG-0114,withdraw
WG-0114,break contact
WG-0115,combat move
WG-0115,engage move
WG-0116,post-combat move
WG-0117,shift
WG-0117,tactical move
WG-0118,forced movement
WG-0118,shove
WG-0119,drag
WG-0119,draw toward
WG-0120,teleport
WG-0120,reposition without moving
WG-0121,blink
WG-0121,redeploy
WG-0122,leap
WG-0123,climbing
WG-0124,flying
WG-0124,flight
WG-0125,step over
WG-0125,vaulting
WG-0126,turn
WG-0126,rotate
WG-0127,back up
WG-0127,reverse move
WG-0128,pre-game move
WG-0128,vanguard move
WG-0129,reposition deployment
WG-0130,forward deploy
WG-0130,infiltrators
WG-0131,drop deployment
WG-0131,teleport reserve
WG-0132,reserve ambush
WG-0132,opportunity fire order
WG-0133,LoS
WG-0133,sight line
WG-0134,LoF
WG-0134,fire line
WG-0135,in sight
WG-0135,can see
WG-0136,concealed
WG-0136,hidden state
WG-0137,camouflage
WG-0137,camo state
WG-0138,concealment
WG-0138,obscured
WG-0139,obscuring
WG-0139,blocked visibility
WG-0140,benefit of cover
WG-0140,partial cover
WG-0141,light cover
WG-0141,partial concealment
WG-0142,hard cover
WG-0142,strong cover
WG-0143,ignores cover
WG-0144,target condition
WG-0144,legal target
WG-0145,nearest enemy
WG-0145,nearest model
WG-0146,priority target
WG-0146,threat priority
WG-0147,target lock
WG-0147,lock on
WG-0148,aim action
WG-0148,aim token
WG-0148,aimed shot
WG-0149,spot
WG-0149,observe
WG-0149,spotter
WG-0150,observer
WG-0150,forward observer
WG-0151,indirect
WG-0151,indirect attack
WG-0152,blind fire
WG-0152,indirect guess shot
WG-0153,field of fire
WG-0153,sector
WG-0154,strike
WG-0154,offensive action
WG-0155,combat attack
WG-0155,close-combat attack
WG-0156,shooting attack
WG-0156,missile attack
WG-0157,fire
WG-0157,shooting action
WG-0158,shoot
WG-0158,fire order
WG-0159,melee
WG-0159,combat
WG-0160,dice pool
WG-0160,weapon pool
WG-0161,defense dice pool
WG-0162,A
WG-0162,attacks
WG-0162,shots
WG-0163,ROF
WG-0163,shots
WG-0164,B
WG-0164,burst value
WG-0165,Range
WG-0165,Rng
WG-0166,Acc
WG-0166,to-hit value
WG-0167,BS
WG-0167,shooting skill
WG-0168,WS
WG-0168,melee skill
WG-0169,Me
WG-0169,melee value
WG-0170,Ra
WG-0170,ranged value
WG-0171,skill
WG-0171,Q
WG-0172,S
WG-0172,attack strength
WG-0173,attack power
WG-0173,effect strength
WG-0174,AP
WG-0174,penetration
WG-0174,pierce
WG-0175,Rending
WG-0175,armour reduction
WG-0176,AT
WG-0176,anti-tank
WG-0176,anti-armour
WG-0177,FP
WG-0177,kill rating
WG-0178,D
WG-0178,damage value
WG-0179,D
WG-0179,damage stat
WG-0180,to-hit roll
WG-0180,attack roll
WG-0181,damage roll
WG-0181,injury roll
WG-0182,combat roll
WG-0182,strike roll
WG-0183,save roll
WG-0183,armour save
WG-0184,SV
WG-0184,armour save
WG-0184,defence save
WG-0185,Defense
WG-0185,DEF
WG-0186,Armor
WG-0186,ARM
WG-0187,T
WG-0187,Tough
WG-0188,HP
WG-0188,wounds
WG-0188,stamina
WG-0189,W
WG-0189,wound capacity
WG-0190,health
WG-0190,endurance
WG-0191,internal structure
WG-0191,hull
WG-0192,crit
WG-0192,natural critical
WG-0193,critical damage result
WG-0194,auto-hit
WG-0194,automatically hits
WG-0195,auto-wound
WG-0196,re-roll
WG-0196,reroll die
WG-0197,MOD
WG-0197,bonus
WG-0197,penalty
WG-0198,natural roll
WG-0198,natural result
WG-0199,pool
WG-0199,attack dice
WG-0200,area weapon
WG-0200,blast attack
WG-0201,blast weapon
WG-0201,explosion
WG-0202,AOE radius
WG-0202,explosion radius
WG-0203,area of effect
WG-0203,area template
WG-0204,blast template
WG-0204,flame template
WG-0204,impact template
WG-0205,flame template
WG-0205,direct template weapon
WG-0206,blast template
WG-0206,impact AOE
WG-0207,line attack
WG-0207,beam X
WG-0208,cone
WG-0208,spray attack
WG-0209,aura attack
WG-0209,radial effect
WG-0210,aura range
WG-0210,aura effect
WG-0211,deviation
WG-0211,drift
WG-0212,scatter
WG-0212,drift
WG-0213,wound point
WG-0213,harm point
WG-0214,pending damage
WG-0214,wound pool
WG-0215,assign damage
WG-0215,allocate wounds
WG-0216,damaged
WG-0216,injured
WG-0217,wounded
WG-0217,injured
WG-0218,wounded side
WG-0218,damaged state
WG-0219,defeated
WG-0219,removed
WG-0219,slain
WG-0220,destroyed
WG-0220,eliminated
WG-0221,killed
WG-0221,destroyed
WG-0222,knocked out
WG-0222,knocked out state
WG-0223,injured
WG-0223,flipped
WG-0224,mortal wound
WG-0224,direct damage
WG-0225,reduce damage
WG-0225,armour reduction
WG-0226,ignore wound
WG-0226,ward
WG-0226,feel no pain
WG-0227,ward save
WG-0227,after-save
WG-0228,ignore wound
WG-0228,damage ignore
WG-0229,regen
WG-0229,heal save
WG-0230,healing
WG-0230,restore
WG-0231,restore structure
WG-0231,fix
WG-0232,morale value
WG-0232,courage
WG-0233,morale
WG-0233,rout threshold
WG-0234,morale
WG-0234,willpower
WG-0234,resolve
WG-0235,LD
WG-0235,command
WG-0235,morale
WG-0236,suppression tokens
WG-0236,suppressed
WG-0237,Pin Marker
WG-0237,pinned
WG-0238,suppressed
WG-0238,pinned down
WG-0239,shaken
WG-0239,morale-broken
WG-0240,panic
WG-0240,broken
WG-0241,recover morale
WG-0241,rally order
WG-0242,shaken
WG-0242,disordered
WG-0243,broken
WG-0243,fled
WG-0244,stun
WG-0244,stunned state
WG-0245,stagger
WG-0245,slowed
WG-0246,immobilized
WG-0246,rooted
WG-0247,down
WG-0247,prone state
WG-0248,in melee
WG-0248,locked in combat
WG-0249,poisoned
WG-0249,toxin
WG-0250,fire
WG-0250,aflame
WG-0251,bleed
WG-0251,bleeding token
WG-0252,scenery
WG-0252,battlefield terrain
WG-0253,scenery piece
WG-0254,terrain area
WG-0254,footprint terrain
WG-0255,small terrain
WG-0255,scatter piece
WG-0256,linear obstacle
WG-0256,barrier
WG-0257,rough terrain
WG-0257,severe terrain
WG-0258,very difficult terrain
WG-0258,rough
WG-0259,blocked
WG-0259,impassable terrain
WG-0260,dangerous terrain
WG-0260,hazardous terrain
WG-0261,open terrain
WG-0261,clear ground
WG-0262,road terrain
WG-0263,height level
WG-0263,elevated position
WG-0264,elevated
WG-0264,height advantage
WG-0265,structure
WG-0265,scenery structure
WG-0266,access point
WG-0266,gate
WG-0267,AW
WG-0267,narrow/wide access
WG-0268,destroyable terrain
WG-0269,cover-providing terrain
WG-0270,LOS-blocking
WG-0270,opaque terrain
WG-0271,concealment terrain
WG-0272,mission objective
WG-0272,objective marker
WG-0273,objective token
WG-0273,objective point
WG-0274,objective marker
WG-0274,asset
WG-0274,civilian
WG-0275,hold objective
WG-0275,control point
WG-0276,carry objective
WG-0276,pickup
WG-0277,hold
WG-0277,dominate
WG-0278,contesting
WG-0278,challenge control
WG-0279,objective control
WG-0279,OC total
WG-0280,OC
WG-0280,control characteristic
WG-0281,claim objective
WG-0281,pick up
WG-0282,secure objective
WG-0282,hold
WG-0283,interaction action
WG-0283,use objective
WG-0284,score points
WG-0284,scoring
WG-0285,VP
WG-0285,victory points
WG-0286,side objective
WG-0286,secondary
WG-0287,main objective
WG-0287,primary
WG-0288,mission
WG-0288,encounter
WG-0288,battleplan
WG-0289,scenario
WG-0289,operation
WG-0290,scenario
WG-0290,mission
WG-0291,scenario
WG-0291,game setup
WG-0292,win condition
WG-0293,tie-break
WG-0293,secondary scoring
WG-0294,set up
WG-0294,deploy
WG-0295,starting zone
WG-0295,DZ
WG-0296,place
WG-0296,deploy
WG-0297,reserves
WG-0297,off-table reserve
WG-0298,reinforcements
WG-0298,reserve arrival
WG-0299,off-table
WG-0299,not deployed
WG-0300,force
WG-0300,faction force
WG-0301,roster
WG-0301,force list
WG-0302,army list
WG-0302,squad list
WG-0303,points cost
WG-0303,army points
WG-0304,points cost
WG-0304,threat
WG-0304,requisition
WG-0305,threat level
WG-0305,roster cost
WG-0306,army
WG-0306,affiliation
WG-0307,faction
WG-0307,team
WG-0308,trooper type
WG-0308,model type
WG-0309,role
WG-0309,battlefield role
WG-0310,battlefield role
WG-0310,slot
WG-0311,equipment card
WG-0311,option
WG-0312,gear
WG-0312,wargear
WG-0312,item
WG-0313,equipment loadout
WG-0313,weapon option
WG-0314,armament
WG-0314,attack profile
WG-0315,unique unit
WG-0315,one-of
WG-0316,limited X
WG-0316,copy limit
WG-0317,attached unit
WG-0317,bodyguard
WG-0317,join
WG-0318,retinue
WG-0318,attached unit
WG-0319,vehicle transport
WG-0319,carrier
WG-0320,inside transport
WG-0320,mounted
WG-0321,exit transport
WG-0321,deploy from transport
WG-0322,CP
WG-0322,command resource
WG-0323,energy
WG-0323,power points
WG-0324,counter
WG-0324,marker token
WG-0325,counter
WG-0325,objective marker
WG-0325,state marker
WG-0326,condition
WG-0326,status
WG-0327,dice roll
WG-0327,check
WG-0328,check
WG-0328,skill test
WG-0329,command test
WG-0329,morale order check
WG-0330,TN
WG-0330,difficulty
WG-0331,opposed test
WG-0331,contested roll
WG-0331,duel
WG-0332,unopposed test
WG-0332,static test
WG-0333,contested duel
WG-0333,opposed test
WG-0334,opposed roll
WG-0334,FtF
WG-0335,pass
WG-0335,hit
WG-0336,fail
WG-0336,miss
WG-0337,success margin
WG-0337,degree of success
WG-0338,degree
WG-0338,margin threshold
WG-0339,six-sided die
WG-0340,three-result die
WG-0340,D6/2
WG-0341,two six-sided dice
WG-0342,face value
WG-0342,result
WG-0343,hit
WG-0343,block
WG-0343,surge
WG-0343,crit
WG-0344,crit
WG-0344,critical result
WG-0345,surge result
WG-0345,conversion result
WG-0346,block result
WG-0346,defence success
WG-0347,opposed single roll
WG-0347,tie roll
WG-0348,chart
WG-0348,lookup table
WG-0349,Blast(X)
WG-0349,blast value
WG-0350,high damage
WG-0350,multi-damage
WG-0351,charge impact
WG-0351,impact hits
WG-0352,accurate
WG-0352,fixed hit quality
WG-0353,rend
WG-0353,armour-piercing critical
WG-0354,toxic
WG-0354,poison
WG-0355,precision
WG-0355,marksman
WG-0356,hard to target
WG-0356,stealthy
WG-0357,slowed
WG-0357,reduced movement
WG-0358,terrain walker
WG-0358,ignore difficult terrain
WG-0359,multi-wound
WG-0359,durable
WG-0360,forward scout
WG-0360,pre-game move
WG-0361,mobile fire
WG-0361,assault
WG-0362,Heavy
WG-0362,cumbersome
WG-0362,heavy weapon
WG-0363,sidearm
WG-0363,pistol weapon
WG-0364,Rapid Fire X
WG-0364,rapid fire
WG-0364,close-range ROF
WG-0365,Sustained Hits X
WG-0365,exploding hits
WG-0365,extra hits
WG-0366,auto-wound hits
WG-0366,lethal
WG-0367,reroll wounds
WG-0367,linked weapons
WG-0368,Disposable
WG-0368,once per game
WG-0368,ammo X
WG-0369,ammo
WG-0369,limited uses
WG-0370,overwatch
WG-0370,suppression fire
WG-0371,opportunity fire
WG-0371,reaction fire
WG-0371,ambush fire
WG-0372,reaction fire
WG-0372,overwatch
WG-0373,support fire
WG-0373,suppressive fire
WG-0374,control zone
WG-0374,threat zone
WG-0375,stationary
WG-0375,hold position
WG-0376,auto-hit
WG-0376,automatic-hit weapon
WG-0377,melta
WG-0377,close-range damage bonus
WG-0378,Anti-Keyword X+
WG-0378,anti-keyword
WG-0379,dev wounds
WG-0379,critical-wound damage
WG-0380,cleave
WG-0380,sweep attack
WG-0381,Down order
WG-0381,go Down
WG-0382,Pen.
WG-0382,penetration bonus
WG-0383,close quarters
WG-0383,CQC
WG-0383,hand-to-hand combat
WG-0384,HE
WG-0384,high-explosive shot
WG-0385,SMG
WG-0385,sub-machine gun
WG-0386,LMG
WG-0386,light MG
WG-0387,MMG
WG-0387,medium MG
WG-0388,HMG
WG-0388,heavy MG
WG-0389,CTRL
WG-0389,command radius
WG-0389,control radius
WG-0390,command group
WG-0390,controller group
WG-0391,focus points
WG-0391,FOCUS
WG-0392,fury points
WG-0392,FURY
WG-0393,automatic resource
WG-0393,power allocation
WG-0394,maintained effect
WG-0394,upkeep cost
WG-0395,boosted roll
WG-0395,boost [dice]
WG-0396,knocked down
WG-0396,KD
WG-0397,standard attack
WG-0397,normal attack
WG-0398,magic attack
WG-0398,spell attack
WG-0399,upkeep phase
WG-0399,maintenance step
WG-0400,resource phase
WG-0400,command-resource phase
WG-0401,formed unit
WG-0401,formation unit
WG-0402,element
WG-0402,multi-model base
WG-0403,march action
WG-0403,marching
WG-0404,wheeling
WG-0404,wheel manoeuvre
WG-0405,clash attack
WG-0405,melee clash
WG-0406,volley action
WG-0406,ranged volley
WG-0407,aiming action
WG-0407,prepare shot
WG-0408,impact hit
WG-0408,charge impact
WG-0409,broken status
WG-0409,broken formation
WG-0410,guts check
WG-0410,survival response
WG-0411,lateral roll
WG-0411,side reposition
WG-0412,boost action
WG-0412,boost [movement]
WG-0413,target lock
WG-0413,lock token
WG-0414,collision overlap
WG-0414,bump
WG-0415,ionised
WG-0415,ion token
WG-0416,tractor token
WG-0416,tractor effect
WG-0417,AAR
WG-0417,battle report
WG-0417,debrief
WG-0418,AI
WG-0418,solitaire opponent
WG-0418,bot
WG-0419,territorial control
WG-0419,control area
WG-0420,impulse system
WG-0420,area-impulse activation
WG-0421,zone movement
WG-0421,area-to-area movement
WG-0422,asymmetrical game
WG-0422,asymmetric forces
WG-0423,average die
WG-0423,averaging die
WG-0424,block wargame
WG-0424,block system
WG-0425,linked campaign
WG-0425,campaign game
WG-0426,CDG
WG-0426,card-driven system
WG-0427,draw chit
WG-0427,activation chit
WG-0428,chit draw
WG-0428,chit-pull activation
WG-0429,period chrome
WG-0429,flavour rule
WG-0430,counter-insurgency game
WG-0430,COIN
WG-0431,CRT
WG-0431,combat table
WG-0432,combat odds
WG-0432,odds ratio
WG-0432,odds
WG-0433,CRT shift
WG-0433,odds-column shift
WG-0434,DRM
WG-0434,die modifier
WG-0435,C2
WG-0435,command and control
WG-0435,command friction
WG-0436,echelon level
WG-0436,decision scale
WG-0437,unit counter
WG-0437,cardboard counter
WG-0438,dummy
WG-0438,decoy counter
WG-0438,dummy unit
WG-0439,FoW
WG-0439,hidden information
WG-0439,uncertainty
WG-0440,map scale
WG-0440,distance scale
WG-0441,hexagon
WG-0441,hex space
WG-0442,hex & counter
WG-0442,hex-and-chit
WG-0443,pass through friendly units
WG-0443,interpenetrate
WG-0444,node movement
WG-0444,point movement
WG-0444,connected-point movement
WG-0445,SOP
WG-0445,turn sequence
WG-0446,IGOUGO
WG-0446,IGO-UGO
WG-0446,full-turn alternation
WG-0447,stack
WG-0447,multiple units per space
WG-0448,stack limit
WG-0448,stacking capacity
WG-0449,over-stacking
WG-0449,overstacked
WG-0450,unit tray
WG-0450,formation tray
WG-0451,MA
WG-0451,movement points
WG-0451,movement factor
WG-0452,movement cost
WG-0452,terrain entry cost
WG-0453,leaving cost
WG-0453,terrain exit cost
WG-0454,TEC
WG-0454,terrain chart
WG-0455,line fire
WG-0455,observed direct fire
WG-0456,disruption
WG-0456,disrupted state
WG-0457,soak-off attack
WG-0457,diversion
WG-0458,overrun attack
WG-0458,overrunning
WG-0459,step reduction
WG-0459,strength step
WG-0460,logistics
WG-0460,supplied / unsupplied
WG-0461,LOC
WG-0461,supply line
WG-0461,communications line
WG-0462,OB
WG-0462,OOB
WG-0462,force order
WG-0463,D100
WG-0463,d%
WG-0463,percentile roll
WG-0464,D66 table
WG-0464,two-digit D6
WG-0465,tactical level
WG-0465,tactical game
WG-0466,operational level
WG-0466,operational game
WG-0467,strategic level
WG-0467,strategic game
WG-0468,grand strategy
WG-0468,grand strategic
WG-0469,firepower odds
WG-0469,fire ratio [ambiguous]
WG-0470,TMM
WG-0470,target movement modifier
WG-0471,PV
WG-0471,unit point value
WG-0472,OV
WG-0472,overheat rating
WG-0473,heat
WG-0473,current heat
WG-0474,heat track
WG-0474,heat meter
WG-0475,shutdown state
WG-0475,thermal shutdown
WG-0476,cooldown
WG-0476,cooling phase
WG-0477,jump move
WG-0477,jumping mode
WG-0478,physical combat
WG-0478,physical strike
WG-0479,DFA
WG-0479,death-from-above attack
WG-0480,engine critical
WG-0480,engine damage
WG-0481,fire-control critical
WG-0481,targeting-system hit
WG-0482,MP hit
WG-0482,movement critical
WG-0483,weapon hit
WG-0483,weapons critical
WG-0484,suppression fire action
WG-0484,blaze-away
WG-0485,charge reaction
WG-0485,assault response
WG-0486,controlled-fire reaction
WG-0487,Evade
WG-0487,evasive reaction
WG-0488,hindered assault
WG-0488,impeded charge
WG-0489,failed charge
WG-0489,failed assault move
WG-0490,move directly away
WG-0490,retreat vector
WG-0491,advanced-trained
WG-0492,antigravity
WG-0492,grav mobility
WG-0493,bulky unit
WG-0494,defensible unit
WG-0495,inspiring aura
WG-0495,inspiration
WG-0496,Resilient(n)
WG-0496,resilience reroll
WG-0497,small-unit keyword
WG-0498,Tactician(n)
WG-0498,command dice bonus
WG-0499,targeting system
WG-0499,split-fire system
WG-0500,Vicious (Assault)
WG-0500,Vicious (Shoot)
WG-0501,Weight of Fire(n)
WG-0501,massed fire
WG-0502,Pinning
WG-0502,pinning fire
WG-0503,command dice
WG-0503,command pool
WG-0504,army order
WG-0504,faction command
WG-0505,BOOSTED
WG-0505,boosted order
WG-0506,Rift Dice
WG-0506,rift resource die
WG-0507,active rift state
WG-0508,surging rift state
WG-0509,exhausted rift state
WG-0510,rift-tagged unit
WG-0511,heroic guts
WG-0511,Guts points
WG-0512,rift mastery points
WG-0513,Luck points
WG-0513,hero luck
WG-0514,heroic statistic
WG-0514,hero resource stat
WG-0515,Corrosive (DX)
WG-0515,corrosive weapon
WG-0516,Crush weapon
WG-0517,gravity-pulse weapon
WG-0518,hyper-velocity shot
WG-0519,shock-wave attack
WG-0520,Tesla Arc (X)
WG-0520,chain-lightning shot
WG-0521,Overload
WG-0521,overloaded weapon
WG-0522,massive hit
WG-0522,catastrophic damage
WG-0523,top armor
WG-0523,roof armour
WG-0524,advantage state
WG-0524,altitude advantage
WG-0525,Advantaged
WG-0525,high advantage
WG-0526,Neutral
WG-0526,neutral aircraft
WG-0527,Disadvantaged
WG-0527,vulnerable aircraft
WG-0528,burn advantage
WG-0528,spend advantage
WG-0529,outmaneuver
WG-0529,manoeuvre attack
WG-0530,climb
WG-0530,climb for advantage
WG-0531,dive
WG-0531,dive for speed
WG-0532,tail
WG-0532,on the tail
WG-0533,head-on shot
WG-0533,frontal pass
WG-0534,deflection shooting
WG-0534,crossing shot
WG-0535,dodge roll
WG-0535,evasive dodge
WG-0536,boom marker
WG-0536,squadron damage chit
WG-0537,pilot rating
WG-0537,skill level
WG-0538,Agility
WG-0538,aircraft manoeuvrability
WG-0539,Firepower
WG-0539,forward firepower
WG-0540,turret FP
WG-0540,defensive turret fire
WG-0541,activation marker
WG-0541,zoom token
WG-0542,multi-engine
WG-0542,bomber-type aircraft
WG-0543,break off
WG-0543,turn for home
WG-0544,aircraft action deck
WG-0544,tactical deck
WG-0545,doctrine
WG-0545,doctrine ability
WG-0546,maximum ship speed
WG-0546,flank
WG-0547,hull points
WG-0547,hull integrity
WG-0548,CQ
WG-0548,crew rating
WG-0549,crew check
WG-0549,CQ check
WG-0550,critical damage level
WG-0550,escalating critical
WG-0551,devastating hit
WG-0551,catastrophic critical
WG-0552,BTH
WG-0552,beyond-horizon attack
WG-0553,spread salvo
WG-0553,torpedo fan
WG-0554,AD
WG-0554,attack dice rating
WG-0555,DD
WG-0555,damage dice rating
WG-0556,point blank
WG-0556,PB range
WG-0557,anti-aircraft battery
WG-0557,AA guns
WG-0558,depth charges
WG-0558,ASW charge
WG-0559,DP
WG-0559,dual-purpose gun
WG-0560,one shot
WG-0560,single-use weapon
WG-0561,wakeless torpedo
WG-0561,no-wake
WG-0562,restricted weapon
WG-0562,restricted arc
WG-0563,Local
WG-0563,local AA rating
WG-0564,radar detection
WG-0564,fire-control radar
WG-0565,torpedo protection
WG-0565,anti-torpedo belt
WG-0566,refit option
WG-0566,historical refit
WG-0567,one-third speed
WG-0567,slow
WG-0568,battle speed
WG-0568,combat-speed band
WG-0569,maximum speed
WG-0569,full ahead
WG-0570,wake
WG-0570,speed wake marker
WG-0571,ramming collision
WG-0571,collision course
WG-0572,manoeuvre card
WG-0572,movement card
WG-0573,ship dashboard
WG-0573,vessel log
WG-0574,delayed manoeuvre
WG-0574,reaction lag
WG-0575,veer
WG-0575,sailing deviation
WG-0576,backed
WG-0576,sails aback
WG-0577,raking shot
WG-0577,rake
WG-0578,broadside fire
WG-0578,side battery
WG-0579,reload phase
WG-0579,reloading step
WG-0580,ammo type
WG-0580,shot type
WG-0581,round shot
WG-0581,solid shot
WG-0582,chain-shot
WG-0582,rigging shot
WG-0583,grape shot
WG-0583,anti-personnel shot
WG-0584,sail setting
WG-0584,sail state
WG-0585,backing sail
WG-0585,backed sails
WG-0586,strike sails
WG-0586,sails struck
WG-0587,entangled ships
WG-0587,fouled
WG-0588,altitude level
WG-0588,height band
WG-0589,climb rate
WG-0589,climb counter rate
WG-0590,ceiling
WG-0590,altitude ceiling
WG-0591,damage deck card
WG-0591,damage card
WG-0592,critical damage
WG-0592,special damage result
WG-0593,ace skill
WG-0593,pilot ace ability
WG-0594,aircraft console
WG-0594,plane dashboard
WG-0595,flight stand level
WG-0595,altitude peg
WG-0596,Tactical
WG-0596,tactical movement
WG-0597,Cross rating
WG-0597,cross value
WG-0598,cross test
WG-0598,terrain cross check
WG-0599,Halted ROF
WG-0599,stationary ROF
WG-0600,Moving ROF
WG-0600,mobile ROF
WG-0601,courage rating
WG-0602,Counterattack
WG-0602,counterattack value
WG-0603,remount rating
WG-0603,remount test
WG-0604,motivation rating
WG-0604,morale block
WG-0605,to-hit defence
WG-0605,target hit rating
WG-0606,front armor
WG-0606,frontal armour
WG-0607,side/rear armour
WG-0607,flank armour
WG-0608,Spearhead
WG-0608,forward deployment screen
WG-0609,formation group
WG-0609,company formation
WG-0610,HQ unit
WG-0610,formation headquarters
WG-0611,in good spirits
WG-0611,formation good spirits
WG-0612,formation last stand
WG-0612,unit last stand
WG-0613,Blitz
WG-0613,pre-fire reposition
WG-0614,digging in
WG-0614,entrench
WG-0615,GtG
WG-0615,concealed and inactive
WG-0616,ranging in
WG-0616,artillery ranging
WG-0617,artillery observer
WG-0617,forward observer team
WG-0618,bombardment
WG-0618,artillery template attack
WG-0619,smoke mission
WG-0619,smoke artillery
WG-0620,mine field
WG-0620,mined area
WG-0621,mine-clear order
WG-0621,clear mines
WG-0622,deep reserve
WG-0622,heavy reserve restriction
WG-0623,scattered reserve arrival
WG-0624,delayed reserve
WG-0624,delayed reinforcements
WG-0625,meeting battle
WG-0625,encounter battle
WG-0626,pre-registered target
WG-0626,ranged-in marker
WG-0627,HEAT
WG-0627,shaped-charge round
WG-0628,laser range finder
WG-0628,LRF
WG-0629,stabilizer
WG-0629,gun stabilisation
WG-0630,thermal sight
WG-0630,TI
WG-0631,bailed
WG-0631,crew bailed out
WG-0632,initiative token
WG-0632,numbered initiative
WG-0633,communications check
WG-0633,radio test
WG-0634,buttoned
WG-0634,hatches closed
WG-0635,open hatch
WG-0635,commander exposed
WG-0636,driving order
WG-0636,vehicle movement order
WG-0637,forward movement order
WG-0638,reverse movement order
WG-0639,halt
WG-0639,stop order
WG-0640,tactical action
WG-0640,secondary vehicle action
