source_key,game_system,publisher_steward,source_type,url,notes
WINGS-ARCHIVE,Wings of Glory,Ares Games,Official downloads archive,https://www.aresgames.eu/downloads/archive,"Rulebooks, altitude/climb references, scenarios, FAQ and damage/aircraft support resources."
WINGS-DUEL,Wings of Glory,Ares Games,Official product/rules page,https://www.aresgames.eu/games/ww1-wings-of-glory-line/ww1-wings-of-glory-duel-pack,"Maneuver and damage cards, altitude stands, airplane consoles and mission terminology."
TEAM-SPECIAL,World War III: Team Yankee,Battlefront Miniatures,Official complete special-rules PDF,https://www.team-yankee.com/Portals/0/Documents/TeamYankee/World-War-III-Complete-Special-rules.pdf,"Spearhead, helicopter, hunter-killer, observer, independent and strike-aircraft terminology."
TEAM-FM101,World War III: Team Yankee,Battlefront Miniatures,Official Field Manual/FAQ PDF,https://www.team-yankee.com/Portals/0/Documents/TeamYankee/FM101-FAQ-NB.pdf,"Reserves, Deep Reserves, minefields, Blitz Move and formation terminology."
TEAM-QS,World War III: Team Yankee,Battlefront Miniatures,Official starter reference PDF,https://www.team-yankee.com/Portals/0/all_images/TeamYankee2/StarterSet/WWIII-Start-Here.pdf,"Modern armour profiles: Tactical/Dash movement, Cross, Courage, Counterattack, Remount, armour facings and weapon notes."
HC-COMBAT,Hail Caesar,Warlord Games,Official combat-system article,https://www.warlordgames.com/hail-caesar-update-rick-explains-the-combat-system/,"Clash/Sustained combat values, Morale saves, Stamina, Shaken, support and break-test outcomes."
WOE-QRS,Warlords of Erehwon,Warlord Games,Official quick-reference PDF,https://www.warlordgames.com/wp-content/uploads/2019/02/WoE%20Quick%20Reference%20Sheet.pdf,"Orders, Sprint, Accuracy, Resist, Strike Value, exchange of missiles, break tests and weapon ranges."
WOE-SPECIAL,Warlords of Erehwon,Warlord Games,Official special-rules summary PDF,https://www.warlordgames.com/wp-content/uploads/2019/02/WoE-Special-rules_v2.pdf,"Fantasy keyword vocabulary including Berserk, Dread, Follow, Shieldwall, Stampede, Terror and Zealous."
OPR-AOFS,Age of Fantasy: Skirmish,One Page Rules,Official game/resources page,https://www.onepagerules.com/games/age-of-fantasy-skirmish,Current free core-rules resource family and fantasy skirmish terminology.
OPR-WIKI-AOF,Age of Fantasy,One Page Rules Community Wiki,Community rules reference,https://wiki.onepagerules.com/index.php/Age_of_Fantasy_Skirmish_Special_Rules,"Accessible special-rule reference for Caster, Fear, Furious, Lance, Relentless and related keyword families."
LEGION-DEV26,Star Wars: Legion,Atomic Mass Games,Official 2026 developer rules article,https://www.atomicmassgames.com/transmission/legion-dev-diaries-clan-saxon/,"Tokens, Recover, orders, attack keywords, command cards and unit roles."
LEGION-UP25,Star Wars: Legion,Atomic Mass Games,Official rules update,https://www.atomicmassgames.com/transmission/legion-update-april-2025/,Vehicle Damage and Immobilize tokens and keyword updates.
KOW-MELEE,Kings of War,Mantic Games,Official melee rules article,https://www.manticgames.com/news/kings-of-war-how-to-play-series-the-melee-phase/,"Nerve thresholds/states, Unit Strength, Counter Charge, movement orders and melee keywords."
BTF-QSR,BattleTech: BattleForce,Catalyst Game Labs,Official BattleForce Quick-Start Rules PDF,https://battletech.com/wp-content/uploads/2025/07/BattleForce_QSR.pdf,Formation profile vocabulary and range-bracket damage.
INF-N5-52,Infinity N5,Corvus Belli,Official N5 v5.2 rules PDF,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v5.2.pdf,"Orders, reactions, information states, hacking, deployment and resolution terminology."
DW4-GLOSS-402,Dystopian Wars 4,Warcradle Studios,Official Rules Glossary v4.02,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,"Generators, movement systems, SRS, slowed state, action limits and naval systems."
DW4-QRG,Dystopian Wars 4,Warcradle Studios,Official Quick Reference Guide,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/Quick-Reference-Guide_W.pdf,"Action Dice, strike grades, Disorder, repair, reserve, collision and broadside resolution."
OPR-WF-WIKI,Grimdark Future: Warfleets,One Page Rules community wiki,Public special-rules reference,https://wiki.onepagerules.com/index.php/Grimdark_Future_Warfleets_Special_Rules,"Fleet weapon roles, boarding, overheating, squadron timing and multi-target fire."
DFC-15,Dropfleet Commander,TTCombat,Public rules reference / rules text mirror,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,"Scan/signature detection, spikes, special orders, orbital layers, launch assets and point defence."
FOF-OTT,Force on Force,Ambush Alley Games / Osprey,Detailed public rules overview,https://www.ontabletop.com/modern-warfare/modern-wargaming-introduction/,"Troop Quality, Confidence, Supply, initiative and action/reaction vocabulary."
COC-TFL,Chain of Command,TooFatLardies,Official token/reference product plus public rules overview,https://toofatlardies.co.uk/product/chain-of-command-2-token-set-2/,"Pinned/Broken/Tactical/Overwatch plus Suppressing Fire, Stunned Leaders, Replen Points and Force Morale terminology."
GDA-WALK,General d'Armee,Reisswitz Press / TooFatLardies,Designer rules walkthrough / current publisher description,https://www.tapatalk.com/groups/generaldebrigadefr/general-d-armee-rules-walkthrough-t6445.html,"ADC command tasking, brigade command states, artillery assault fire and skirmisher tasking."
BAP-FL,Blood & Plunder,Firelock Games,Official game/download page plus public system reference,https://firelockgames.com/pages/blood-plunder,"Fatigue, push, reload, resolve and strike vocabulary for 17th-century land/naval skirmishing."
02HH-OFFICIAL,02 Hundred Hours,Grey For Now Games,Official designer notes / public rules material,https://greyfornow.com/blogs/news/02-hundred-hours-designers-notes,"Stealth, detection, patrol, trauma, action/time-token and card terminology."
CROSSFIRE-WIKI,Crossfire,Crossfire Wargaming / Steven Thomas,Public rules reference and reviews,https://crossfire.wargaming.info/about/,"Variable-length initiative, unmeasured movement, reactive fire and group coordination terminology."
SEEKRIEG5-TOC,SEEKRIEG 5,SEEKRIEG,Official rulebook contents and chart index,https://www.seekrieg.com/Seekrieg5-TOC.pdf,"Naval command, visibility, radar, fire control, weather, movement and damage-control terminology."
40K-2026-BUILD,"Warhammer 40,000",Games Workshop,Official 2026 army-building and Space Marine/Deathwatch previews,https://www.warhammer-community.com/en-gb/articles/95fucn12/building-an-army-in-the-new-edition-of-warhammer-40000/,"Detachment Points, battle sizes, unit limits, detachments, Mission Tactics and current Space Marine detachments."
BA3-OFFICIAL-26,Bolt Action: Third Edition,Warlord Games,"Official Third Edition articles, digital resources and FAQs",https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/,"Current Third Edition terminology, weapons, command vehicles, Soviet special rules and official experimental warplane terminology."
NWS-MODERN-GQ,Modern General Quarters / Modern Naval Rules,Naval Wargames Society,Free public modern naval rules / data extract,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/,"Detection, submarine information states, air operations, CAP, air-defence ratings, ECM and air-combat range bands."
HARPOON5-OFFICIAL,Harpoon V,Admiralty Trilogy Group,Official product/rules support and free Jumpstart/support material,https://www.admiraltytrilogy.com/harpoon.php,"Modern naval sensors, radar, sonar, electronic support, ECM, mines, unmanned vehicles and data-link terminology."
HARPOON-SUPPORT,Harpoon / Admiralty Trilogy,Admiralty Trilogy Group,Official public game-support resources,https://www.admiraltytrilogy.com/gamesupport.php,"Public sonar, radar, critical-hit and rules-support terminology used to corroborate sensor and EW concepts."
HARPOON5-FC,Harpoon V,Admiralty Trilogy Group,Official public fire-control presentation / errata,https://www.admiraltytrilogy.com/pdf/Historicon2021_Fire%20Control_In_HarpoonV.pdf,"Track quality, targeting quality, area of uncertainty and fire-control terminology."
HARPOON5-ERRATA,Harpoon V,Admiralty Trilogy Group,Official public errata,https://www.admiraltytrilogy.com/cic/Harpoon/Harpoon_V_Errata_8_Jan_21.pdf,"Bearing-only launch, cross-fix, tactical data-link timing, guidance links and solution-quality terminology."
TOH2-OFFICIAL,Test of Honour 2nd Edition,Grey For Now Games,Official rules/product description,https://greyfornow.com/products/test-of-honour-rulebook-only,"Honour/Dishonour, Traits, Quests, Skills, progression and alternating warrior activation terminology."
TOH2-TOKENS,Test of Honour / Sengoku,Grey For Now Games,Official token/component listing,https://greyfornow.com/products/sengoku-book-tokens,"Character/Follower action tokens, Fate, Blood, Reload/Cautious, Objective and Clan token terminology."
ROMMEL-QRS,Rommel,Sam Mustafa Publishing / HONOUR,Official free quick-reference sheet,https://sammustafa.com/s/Rommel-QRS.pdf,"Operations, supply, isolation, tipping, engineering, fuel, road/tactical movement and combat terminology."
LASALLE2-SUM,Lasalle Second Edition,Sam Mustafa Publishing / HONOUR,Official free rules summary,https://static1.squarespace.com/static/63093b9d5b27bc44cd3e43bf/t/6332dab9e286332448208fdb/1664277191270/Lasalle2-rules+summary.pdf,"Momentum, interrupts, orders, complications, skirmish advantage, formation and combat-state terminology."
BLUCHER-GNEIS,Blücher,Sam Mustafa Publishing / HONOUR,Official free Gneisenau play aide,https://sammustafa.com/s/Gneisenau.pdf,"MO command economy, information phase, concealed units, movement modes, preparation, ammunition, fatigue and army morale."
LONGSTREET-QRS,Longstreet,Sam Mustafa Publishing / HONOUR,Official free quick-reference sheet,https://sammustafa.com/s/Longstreet-QRS.pdf,"Action-card sequencing, shattered point, morale value, command choices, disorder and formation terminology."
RFF-QRS21,Regimental Fire and Fury,Fire and Fury Games,Official free QRS v2.1 rule changes / playtest reference,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,"Command states, manoeuvre effects, formation movement, fire-effect ladder, unit effectiveness and breakthrough terminology."
FWC-OFFICIAL,Flightwing Commander,TTCombat,Official free rules PDF,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,"Air-combat movement, mission profiles, flight levels, dangerous and special manoeuvres, AA entry fire, ground assets and aircraft stat terminology."
DZC-RESOURCES-26,Dropzone Commander,TTCombat,Official public resources hub,https://ttcombat.com/pages/dropzone-commander-resources,Official fastplay sheets and free Flightwing Commander rules/stat cards; confirms publisher provenance.
DZC-ARTEMIS-26,Dropzone Commander: Operation Artemis,TTCombat,Official product/rules description,https://ttcombat.com/collections/just-in/products/dropzone-commander-operation-artemis,"Noise, Threat Level, fauna aggression, command-card decks and six-round scenario framework."
BBAY-QRS-26,Blood & Bayonets,Firelock Games,Official free quick-reference sheet,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,"Alternating card initiative, dedicated actions, fatigue thresholds, naval critical damage, artillery ammunition and formation terminology."
BVAL-QRS,Blood & Valor,Firelock Games,Official free quick-reference sheet,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,"Initiative bidding, barrage mishaps, gas barrage zones, barbed-wire crossing, fatigue/action economy and rally terminology."
AOFREG-351,Age of Fantasy: Regiments v3.5.1,OnePageRules,Official free core-rules/resource page,https://onepagerules.com/games/age-of-fantasy-regiments,"Current free core rules plus campaign, mission-card, solo/co-op and horde-mode resources."
AOF-WIKI-341,Age of Fantasy,OPR Community Wiki,Public rules wiki / special-rules reference,https://wiki.onepagerules.com/index.php/Age_of_Fantasy_Special_Rules,"Caster/spell-token economy, command groups, Entrenched, Fear, Hero attachment, Limited weapons, regeneration and transport terminology; wiki labels itself v3.4.1."
DW402-GLOSS,Dystopian Wars v4.02,Warcradle Studios,Official free rules glossary PDF,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,"Updated public glossary used for logistics, deployment, mine-laying, carrier and support terminology."
OPR-CAMP-331,OnePageRules Campaign Rules v3.3.1,OnePageRules,Official public campaign rules PDF,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf,"Campaign duration, late joining, underdog compensation, advancement and roster-management terminology."
WTJ-1943,1943,War Times Journal,Public rules webpage,https://www.wtj.com/games/beta/1943/docu_rules_g.htm,"Formation spacing, command doctrine, support range, artillery requests and ammunition terminology."
WTJ-1943-MOVE,1943,War Times Journal,Public movement rules webpage,https://www.wtj.com/games/1943/rule_movement.htm,Movement and manhandling terminology.
FNF-BFENG,Battlefront: WWII Engineering Playtest Rules,Fire and Fury Games,Public playtest rules webpage,https://www.fireandfury.com/extra/engineering.shtml,"Minefields, breaching, demolitions, marked lanes, bridging and counter-engineering terminology."
MMP-TCS10,Tactical Combat Series Rules v1.0,Multi-Man Publishing,Official public rules PDF,https://www.mmpgamers.com/support/gamersarchive/tcs/TCS_v10_Rules.pdf,"Minefield passage, by-force crossing, persistent breaches and breach orientation terminology."
MMP-TCS402,Tactical Combat Series Rules v4.02,Multi-Man Publishing,Official public rules PDF,https://www.mmpgamers.com/support/gamersarchive/tcs/TCS_v402v7_Rules.pdf,Bottleneck and movement-through-restricted-passage terminology.
MMP-WED,Where Eagles Dare Exclusive Rules,Multi-Man Publishing,Official public rules PDF,https://mmpgamers.com/support/gts/WED_Exclusive_Rules.pdf,"Prepared demolition, reactive demolition and bridge-repair terminology."
MMP-BC,Brazen Chariots Rules,Multi-Man Publishing,Official public rules PDF,https://mmpgamers.com/support/gamersarchive/bcs/BCRules.pdf,Persistent wire-breach terminology.
WAW85-SECONDARY,World at War 85 Core Rules 2.1,Lock n Load Publishing / secondary public host,Publicly accessible secondary rules copy,https://studylib.net/doc/28041378/coldwarcommanderrules,Secondary public provenance for Bridge-Laying Unit; replace with publisher-hosted copy when available.
BILLYYANK-SECONDARY,Billy Yank 10mm ACW Rules,Independent / secondary public host,Publicly accessible secondary rules copy,https://vignette.wikia.nocookie.net/freewargamesrules/images/7/7e/By_rules.pdf/revision/latest,Secondary public provenance for Bridge Train; replace with a more authoritative host when available.
