term_id,canonical_term,category,subcategory,definition,mechanical_role,typical_value_unit,design_notes,scope,added,search_tags
WG-0055,Once per round,Turn structure,Usage limit,A frequency limit allowing one use during a round.,Balances abilities,,,Generic / cross-system,2026-09-23,once per round 1/round turn structure usage limit
WG-0056,Once per game,Turn structure,Usage limit,A frequency limit allowing one use during the entire game.,Creates high-impact resource,,,Generic / cross-system,2026-09-23,once per game limited; single use turn structure usage limit
WG-0057,Free action,Turn structure,Action economy,An action that does not consume the normal action allowance.,Expands action economy,,Define whether free actions can repeat or generate other actions.,Generic / cross-system,2026-09-23,free action bonus action; zero-action turn structure action economy
WG-0058,Action limit,Turn structure,Action economy,The maximum number of normal actions a model or unit may declare in an activation.,Caps action economy,integer,A clear action limit is useful even if most models use the same default.,Generic / cross-system,2026-09-23,action limit actions per activation turn structure action economy
WG-0059,Action point,Turn structure,Action economy,A spendable unit of action economy used to pay for actions.,Flexible action economy,integer,"Not universal, but a common design alternative to fixed action counts.",Generic design term,2026-09-23,action point ap; action resource turn structure action economy
WG-0060,Distance,Measurement & spatial,Distance,The measured separation between game elements.,Core spatial rule,inches; cm; range band,"Define where measurement begins and ends: base edge, centre, silhouette, token edge.",Generic / cross-system,2026-09-23,distance measurement; separation measurement & spatial distance
WG-0061,Range,Measurement & spatial,Range,The maximum or banded distance at which an attack or effect may reach.,Limits targeting/effects,inches; cm; range band,Range may be numeric or abstract bands such as Short/Medium/Long.,Generic / cross-system,2026-09-23,range weapon range; effect range measurement & spatial range
WG-0062,Range band,Measurement & spatial,Range band,A discrete distance category rather than a single numeric distance.,Abstracts measurement,band/category,Useful for compact profiles and bespoke measuring tools.,Generic / cross-system,2026-09-23,range band short; medium; long; extreme measurement & spatial range band
WG-0063,Short range,Measurement & spatial,Range band,"A near-distance band, often with better accuracy or different effects.",Range modifier/band,band or inches,,Generic / cross-system,2026-09-23,short range close range measurement & spatial range band
WG-0064,Long range,Measurement & spatial,Range band,"A distant band, often imposing penalties or reducing effect.",Range modifier/band,band or inches,,Generic / cross-system,2026-09-23,long range extended range measurement & spatial range band
WG-0065,Extreme range,Measurement & spatial,Range band,A furthest optional range band with severe penalties or restrictions.,Extends weapon reach,band or inches,,Generic/common,2026-09-23,extreme range maximum band measurement & spatial range band
WG-0066,Minimum range,Measurement & spatial,Range constraint,A lower distance limit inside which a weapon or effect cannot be used normally.,Creates dead zone,inches; cm; band,,Generic/common,2026-09-23,minimum range dead zone measurement & spatial range constraint
WG-0067,Maximum range,Measurement & spatial,Range constraint,The furthest legal distance for an attack or effect.,Caps reach,inches; cm; band,,Generic / cross-system,2026-09-23,maximum range max range measurement & spatial range constraint
WG-0068,Half range,Measurement & spatial,Range threshold,A threshold equal to half a weapon's listed range used to switch rules or bonuses.,Conditional range breakpoint,distance,Useful for rapid-fire or optimal-range mechanics.,Generic / cross-system,2026-09-23,half range close-range threshold measurement & spatial range threshold
WG-0069,Within,Measurement & spatial,Containment,At least part of the relevant object lies inside the stated distance or area.,Defines spatial eligibility,,Needs a precise measurement convention.,Generic / cross-system,2026-09-23,within inside range; at most measurement & spatial containment
WG-0070,Wholly within,Measurement & spatial,Containment,"The entire relevant base, model volume or unit must lie inside the stated area.",Stricter spatial eligibility,,Define whether every model or entire base must qualify.,Generic / cross-system,2026-09-23,wholly within completely within measurement & spatial containment
WG-0071,Not within,Measurement & spatial,Containment,The relevant object is outside a stated distance or area.,Defines exclusion zone,,,Generic / cross-system,2026-09-23,not within outside range measurement & spatial containment
WG-0072,Base,Measurement & spatial,Physical footprint,The physical footprint beneath a miniature used for placement and measurement.,Defines occupied space,mm diameter/shape,Rules should say whether protruding model parts matter.,Generic / cross-system,2026-09-23,base base edge; footprint measurement & spatial physical footprint
WG-0073,Base contact,Measurement & spatial,Contact,Two game elements are touching according to the system's base/footprint convention.,Defines adjacency/contact,touching,"Often used for melee, interaction, objectives and transport.",Generic / cross-system,2026-09-23,base contact base-to-base; b2b measurement & spatial contact
WG-0074,Silhouette,Measurement & spatial,Abstract volume,A standardised game volume used instead of the sculpt's actual shape.,Normalises LOS/space,size category/template,Extremely useful where dynamic poses would otherwise affect rules.,"System-specific term, generic concept",2026-09-23,silhouette volume; size template measurement & spatial abstract volume
WG-0075,Size,Measurement & spatial,Size,"A categorical measure of model or terrain scale used by movement, throws, cover or LOS.",Spatial classification,integer/category,Keep separate from base size if both matter.,Generic / cross-system,2026-09-23,size sz; scale; size class measurement & spatial size
WG-0076,Height,Measurement & spatial,Vertical size,A vertical measurement or category used for terrain and LOS.,Vertical spatial rule,inches; mm; category,,Generic / cross-system,2026-09-23,height ht; elevation measurement & spatial vertical size
WG-0077,Facing,Measurement & spatial,Orientation,The direction a model or unit is considered to face.,Controls arcs/movement,angle/direction,Many modern systems remove facing; include it only when it earns its complexity.,Generic / cross-system,2026-09-23,facing orientation measurement & spatial orientation
WG-0078,Front arc,Measurement & spatial,Arc,The forward angular area of a model or vehicle.,Limits LOS/fire/armour,degrees,Common with vehicles and games using facing.,Generic / cross-system,2026-09-23,front arc front 180; frontal arc measurement & spatial arc
WG-0079,Side arc,Measurement & spatial,Arc,The side angular area of a model or vehicle.,Armour/attack location,degrees,,Generic / cross-system,2026-09-23,side arc flank arc measurement & spatial arc
WG-0080,Rear arc,Measurement & spatial,Arc,The rear angular area of a model or vehicle.,Weak facing / attack location,degrees,,Generic / cross-system,2026-09-23,rear arc rear; back arc measurement & spatial arc
WG-0081,Firing arc,Measurement & spatial,Arc,The angular region in which a weapon can legally target.,Constrains weapon targeting,degrees/printed arc,,Generic/common,2026-09-23,firing arc weapon arc; fire arc measurement & spatial arc
WG-0082,Zone,Measurement & spatial,Area,A defined part of the battlefield with shared rules or scenario meaning.,Spatial container,shape/area,,Generic / cross-system,2026-09-23,zone area; region measurement & spatial area
WG-0083,Zone of Control,Measurement & spatial,Proximity zone,"An area around a model within which it exerts awareness, control or reaction effects.",Proximity interaction,radius,"May drive reactions, movement restrictions or engagement.","System-specific term, generic concept",2026-09-23,zone of control zoc; control radius measurement & spatial proximity zone
WG-0084,Engagement Range,Measurement & spatial,Proximity zone,The distance at which opposing models or units count as engaged in close combat.,Switches combat state,inches/category,Do not confuse with weapon reach if the system separates them.,Generic / cross-system,2026-09-23,engagement range melee range; combat range measurement & spatial proximity zone
WG-0085,Combat range,Measurement & spatial,Proximity zone,A defined proximity within which models are considered in combat or able to fight.,Defines close combat,inches/category,,Generic / cross-system,2026-09-23,combat range melee zone; engagement range measurement & spatial proximity zone
WG-0086,Coherency,Measurement & spatial,Formation,A rule requiring models in a unit to remain within a specified spacing relationship.,Keeps multi-model units together,inches/cm,Specify when coherency is checked and how casualties repair breaks.,Generic / cross-system,2026-09-23,coherency formation spacing; unit cohesion measurement & spatial formation
WG-0087,Coherency range,Measurement & spatial,Formation,The maximum spacing allowed between models to maintain unit coherency.,Formation constraint,inches/cm,,Generic / cross-system,2026-09-23,coherency range unit spacing measurement & spatial formation
WG-0088,Centrepoint,Measurement & spatial,Battlefield reference,The exact centre of the battlefield.,Scenario reference,point,,Generic / cross-system,2026-09-23,centrepoint table centre; midpoint measurement & spatial battlefield reference
WG-0089,Centreline,Measurement & spatial,Battlefield reference,A line dividing the battlefield into two halves.,Deployment/scoring reference,line,,Generic / cross-system,2026-09-23,centreline midline measurement & spatial battlefield reference
WG-0090,Table edge,Measurement & spatial,Battlefield reference,The boundary of the playable area.,Deployment/retreat reference,edge,,Generic / cross-system,2026-09-23,table edge battlefield edge measurement & spatial battlefield reference
WG-0091,Table half,Measurement & spatial,Battlefield reference,One of two halves divided by the centreline.,Scenario/deployment area,area,,Generic / cross-system,2026-09-23,table half battlefield half measurement & spatial battlefield reference
WG-0092,Table quarter,Measurement & spatial,Battlefield reference,One of four equal battlefield quadrants.,Scenario/scoring area,area,,Generic / cross-system,2026-09-23,table quarter quadrant; battlefield quarter measurement & spatial battlefield reference
WG-0093,Territory,Measurement & spatial,Battlefield region,A side-associated portion of the battlefield.,Scenario/deployment reference,area,,Generic / cross-system,2026-09-23,territory friendly territory; enemy territory measurement & spatial battlefield region
WG-0094,Move,Movement,Core movement,Change a model or unit's position up to a permitted distance.,Primary positioning mechanic,inches; cm; tool length,Use as the canonical concept; individual games call the stat Move or Speed.,Generic / cross-system,2026-09-23,move movement; mv; m; speed move movement core movement
WG-0095,Move characteristic,Movement,Movement stat,A profile value defining normal movement capacity.,Quantifies mobility,inches; cm; band,Canonical design concept is movement allowance; labels differ heavily by game.,Generic / cross-system,2026-09-23,move characteristic mv; m; speed; sp; spd movement movement stat
WG-0096,Speed,Movement,Movement stat,A movement-related characteristic or category expressing how fast a unit moves.,Quantifies mobility,number; band,Some games use Speed as the stat and Move as the action.,Generic / cross-system,2026-09-23,speed sp; spd; movement rate movement movement stat
WG-0097,Normal Move,Movement,Movement mode,A basic movement with few or no special penalties.,Baseline repositioning,up to Move value,,Generic / cross-system,2026-09-23,normal move standard move; walk; move movement movement mode
WG-0098,Standard Move,Movement,Movement mode,A game's default move action using normal movement rules.,Baseline repositioning,movement tool / speed,,Generic / cross-system,2026-09-23,standard move normal move movement movement mode
WG-0099,Walk,Movement,Movement mode,A basic non-running movement action.,Baseline repositioning,Move value,,Generic/common,2026-09-23,walk move; basic move movement movement mode
WG-0100,Advance,Movement,Movement mode,A movement mode that goes beyond staying still but is not always full-speed running.,Flexible movement,Move or Move+random,"Overloaded term. In Warhammer 40,000 it denotes a faster movement mode; in Bolt Action it is an order to move normally and then fire. Always record the ruleset sense.",Generic / cross-system,2026-09-23,advance move-and-fire; accelerated move movement movement mode
WG-0101,Run,Movement,Fast movement,"A faster move that usually sacrifices shooting, charging or other actions.",Trades action options for distance,double Move; Move+D6; fixed bonus,The exact cost differs greatly across systems.,Generic / cross-system,2026-09-23,run rush; sprint; dash movement fast movement
WG-0102,Rush,Movement,Fast movement,A fast movement mode typically increasing distance while limiting attacks.,Trades offence for mobility,bonus/double movement,,Generic / cross-system,2026-09-23,rush run; dash movement fast movement
WG-0103,Dash,Movement,Fast movement,"A high-speed movement mode, often terrain-specific or incompatible with attacking.",Maximum repositioning,multiple movement values,"Flames of War splits Dash into Road, Cross-Country and Terrain values.",Generic / cross-system,2026-09-23,dash run; sprint movement fast movement
WG-0104,Road Dash,Movement,Fast movement,A fast movement rate available while following roads.,Terrain-conditioned speed,inches/cm,,Generic / cross-system,2026-09-23,road dash road move movement fast movement
WG-0105,Cross-Country Dash,Movement,Fast movement,A fast movement rate across normal open terrain.,Terrain-conditioned speed,inches/cm,,Generic / cross-system,2026-09-23,cross-country dash open-ground dash movement fast movement
WG-0106,Terrain Dash,Movement,Fast movement,A fast movement rate used when moving through terrain.,Terrain-conditioned speed,inches/cm,,Generic / cross-system,2026-09-23,terrain dash rough-terrain dash movement fast movement
WG-0107,Sprint,Movement,Fast movement,"An especially fast move beyond normal run speed, usually with extra restrictions or risk.",Extreme mobility,multiple of Move,,Generic/common,2026-09-23,sprint full speed; triple move movement fast movement
WG-0108,Charge,Movement,Engagement move,A movement used to enter close combat with an enemy.,Initiates melee,distance roll; fixed/derived distance,"May require target declaration, LOS, minimum distance and engagement placement.",Generic / cross-system,2026-09-23,charge assault move; charge move movement engagement move
WG-0109,Counter-charge,Movement,Engagement move,A charge made in response to an enemy action or during the opponent's turn.,Reactive engagement,movement distance/resource cost,,Generic / cross-system,2026-09-23,counter-charge reactive charge movement engagement move
WG-0110,Assault,Movement,Engagement move,A movement/action that brings a unit into close combat and resolves melee.,Initiates close combat,,Some games use Assault for the entire melee action rather than only movement.,Generic / cross-system,2026-09-23,assault charge; close assault movement engagement move
WG-0111,Fall Back,Movement,Disengagement,"Move away from enemy engagement, usually with restrictions on later actions.",Leaves melee,Move value,Different games attach different shooting/charging penalties.,Generic / cross-system,2026-09-23,fall back retreat; withdraw; disengage movement disengagement
WG-0112,Retreat,Movement,Disengagement,"Leave close combat by moving away, often at a cost or with action restrictions.",Leaves melee,Move value / damage cost,,Generic / cross-system,2026-09-23,retreat fall back; withdraw movement disengagement
WG-0113,Withdraw,Movement,Disengagement,An action allowing a unit to leave melee engagement.,Leaves melee,move/tool,,Generic / cross-system,2026-09-23,withdraw disengage; retreat movement disengagement
WG-0114,Disengage,Movement,Disengagement,Move out of an engagement state without remaining locked in melee.,Leaves melee,,Generic canonical term for the concept.,Generic design term,2026-09-23,disengage withdraw; break contact movement disengagement
WG-0115,Pile In,Movement,Melee reposition,A short move made by models already fighting to close with nearby enemies.,Melee positioning,short fixed distance,,Generic / cross-system,2026-09-23,pile in combat move; engage move movement melee reposition
WG-0116,Consolidate,Movement,Melee reposition,"A short move made after fighting to adjust position, contact or control.",Post-combat positioning,short fixed distance,,Generic / cross-system,2026-09-23,consolidate post-combat move movement melee reposition
WG-0117,Reposition,Movement,Forced/bonus movement,"A movement occurring outside the model's normal move action, usually from an ability.",Position control,distance/tool,,Generic/common,2026-09-23,reposition shift; tactical move movement forced/bonus movement
WG-0118,Push,Movement,Forced movement,Move a model a specified distance without it taking a normal move action.,Battlefield control,short/medium/long; inches,"Clarify whether pushes stop at obstacles, models or edges.",Generic / cross-system,2026-09-23,push forced movement; shove movement forced movement
WG-0119,Pull,Movement,Forced movement,Forced movement toward a source or point.,Battlefield control,distance,Generic miniature design term.,Generic design term,2026-09-23,pull drag; draw toward movement forced movement
WG-0120,Place,Movement,Placement,Put a model at a new legal location without tracing a normal movement path.,Bypasses path movement,distance/range,Important distinction: 'place' often ignores intervening terrain because the model does not move through it.,Generic / cross-system,2026-09-23,place teleport; reposition without moving movement placement
WG-0121,Teleport,Movement,Placement,"Relocate a model without normal path movement, usually over a limited range or between points.",High-mobility placement,range/distance,,Generic design term,2026-09-23,teleport blink; redeploy movement placement
WG-0122,Jump,Movement,Vertical movement,Move over or onto obstacles using a special movement method.,Vertical/obstacle mobility,distance/height,,Generic / cross-system,2026-09-23,jump leap movement vertical movement
WG-0123,Climb,Movement,Vertical movement,Move vertically along terrain according to climbing rules.,Vertical mobility,distance/height,,Generic / cross-system,2026-09-23,climb climbing movement vertical movement
WG-0124,Fly,Movement,Movement trait,Ignore or modify normal terrain/model restrictions while moving.,Terrain-bypassing mobility,trait + Move,"Define whether Fly affects ending position, engagement and vertical distance.",Generic / cross-system,2026-09-23,fly flying; flight movement movement trait
WG-0125,Vault,Movement,Obstacle movement,Cross a low obstacle without using a full climb procedure.,Smooths terrain movement,height threshold,,Generic / cross-system,2026-09-23,vault step over; vaulting movement obstacle movement
WG-0126,Pivot,Movement,Orientation,"Rotate a model or vehicle, sometimes consuming movement or limited by angle.",Changes facing,degrees / pivots,Only needed when facing matters.,Generic / cross-system,2026-09-23,pivot turn; rotate movement orientation
WG-0127,Reverse,Movement,Vehicle movement,Move a facing-dependent model backwards under special limits.,Vehicle manoeuvre,distance/pivots,,Generic / cross-system,2026-09-23,reverse back up; reverse move movement vehicle movement
WG-0128,Scout move,Movement,Pre-game movement,A move made before normal turns begin.,Pre-battle positioning,distance,,Generic / cross-system,2026-09-23,scout move pre-game move; vanguard move movement pre-game movement
WG-0129,Redeploy,Movement,Pre-game positioning,Move or replace a deployed unit before the battle begins.,Corrects or conceals deployment,count/range,,Generic/common,2026-09-23,redeploy reposition deployment movement pre-game positioning
WG-0130,Infiltrate,Movement,Deployment mobility,Deploy closer to the enemy or outside the normal deployment zone under restrictions.,Advanced deployment,distance from enemy/zone,,Generic / cross-system,2026-09-23,infiltrate forward deploy; infiltrators movement deployment mobility
WG-0131,Deep Strike,Movement,Reserve arrival,"Enter the battlefield from reserve at a distant legal position, usually away from enemies.",Strategic deployment,minimum enemy distance,40K term; generic concept appears widely.,"System-specific label, generic concept",2026-09-23,deep strike drop deployment; teleport reserve movement reserve arrival
WG-0132,Ambush,Movement,Hidden/conditional arrival or order,"A term used either for sudden reserve arrival or a waiting fire posture, depending on system.",Surprise timing,condition,Do not treat as one universal mechanic: OPR and Bolt Action use it differently.,Generic / cross-system,2026-09-23,ambush reserve ambush; opportunity fire order movement hidden/conditional arrival or order
WG-0133,Line of Sight,Targeting & visibility,Visibility,A test of whether one game element can see another for targeting or effects.,Gates targeting,binary/geometric,"Define source point/volume, target point/volume and blocking rules.",Generic / cross-system,2026-09-23,line of sight los; sight line targeting & visibility visibility
